institucionUltimoEstudio,equivalencia,cantidad,igual
New Horizonts,New Horizons,4,FALSE
Next U,Next University,1,FALSE
Next University,Next University,1,TRUE
Nextech,Nextech,15,TRUE
Nextech Education Center,Nextech,5,FALSE
Nextu,Next University,1,FALSE
Nits,Nits,1,TRUE
Nombre Institucion Educativa,Nombre Institucion Educativa,1,TRUE
Northwestern University (Il),Northwestern University (Il),1,TRUE
Nova Southeastern University,Nova Southeastern University,1,TRUE
Nse Institute Fortinet,Nse Institute Fortinet,2,TRUE
Oficina Nacional De Procesos Electorales,Onpeduca,1,FALSE
Ogc,Ogc,1,TRUE
Online,Online,3,TRUE
Onpeduca,Onpeduca,1,TRUE
Opalo,Opalo,1,TRUE
Openwebinars,Openwebinars,1,TRUE
Opex Business Partner,Opex Business Partner,1,TRUE
Oracle,Oracle Education,1,FALSE
Oracle Education,Oracle Education,2,TRUE
Oracle University,Oracle Education,6,FALSE
Orange Peru Hard - Technical Support Services,Orange Peru Hard - Technical Support Services,1,TRUE
Oreilly,Oreilly,1,TRUE
Organizacion Schillder,Organizacion Schindler Sac,2,FALSE
Organizacion Schindler Sac,Organizacion Schindler Sac,1,TRUE
Osce,Osce,1,TRUE
Osenterprise,Osenterprise,1,TRUE
Oshacademy Latam,Oshacademy Latam,1,TRUE
Otra,Otros,3,FALSE
Otro,Otros,14,FALSE
Otros,Otros,35,TRUE
Owasp Foundation,Owasp Foundation,2,TRUE
Pacifico Business School,Pacifico Business School - Univ. Del Pacifico,3,FALSE
Pacifico Business School - Univ. Del Pacifico,Pacifico Business School - Univ. Del Pacifico,1,TRUE
Pad,Pad,12,TRUE
Pade,Pade,1,TRUE
Particular,Particular,1,TRUE
Pcleticia,Pcleticia,1,TRUE
Pebc,Pebc,1,TRUE
Pecb,Pecb - Canada,2,FALSE
Pecb - Canada,Pecb - Canada,1,TRUE
People Cert,People Cert,1,TRUE
Peoplecert,People Cert,2,FALSE
Peru Linux,Peru Linux,1,TRUE
Pink Elephant,Pink Elephant,1,TRUE
Plataforma Udemy,Udemy,1,FALSE
Platzi,Platzi,26,TRUE
Pluralsight,Pluralsight,2,TRUE
Pm Certifica,Pm Certifica,17,TRUE
Pm Certifica - Pmi Registered Education Provider,Pm Certifica,1,FALSE
Pm Certifica - Scrumstudy 97864,Pm Certifica,1,FALSE
Pm Consultant Latam,Pm Certifica,1,FALSE
Pmc,Pmc Latam,7,FALSE
Pmc Grupo,Pmc Latam,2,FALSE
Pmc Latam,Pmc Latam,6,TRUE
Pmcertifica,Pm Certifica,8,FALSE
Pmconsultant Latam S.A.C.,Pmconsultant Latam S.A.C.,2,TRUE
Pmg Academy,Pmg Academy,1,TRUE
Pmi,Pmi,10,TRUE
Pmo Global Alliance,Pmo Global Alliance,1,TRUE
Politecnico Colombiano Jaime Isaza Cadavid,Politecnico Colombiano Jaime Isaza Cadavid,1,TRUE
Politecnico De Colombia,Politecnico De Colombia,1,TRUE
Politecnico Grancolombiano,Politecnico Grancolombiano,1,TRUE
Ponificia Universidad Catolica Del Peru,Pontificia Universidad Catolica Del Peru,2,FALSE
Pontificia Univerdidad Catolica Del Peru,Pontificia Universidad Catolica Del Peru,1,FALSE
Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile,1,TRUE
Pontificia Universidad Catolica Del Peru,Pontificia Universidad Catolica Del Peru,342,TRUE
Pontificia Universidad Catolica Del Peru - Pucp,Pontificia Universidad Catolica Del Peru,4,FALSE
Postgrado Universidad Peruana De Ciencias Aplicadas - Upc,Postgrado Universidad Peruana De Ciencias Aplicadas - Upc,1,TRUE
Power Bi Peru,Power Bi Peru,1,TRUE
Premium Cultural Institute,Premium Cultural Institute,1,TRUE
Prime Institute,Prime Institute,4,TRUE
Pro Escuela Grupo Edem,Pro Escuela Grupo Edem,2,TRUE
Proavance,Proavance,1,TRUE
Profesional,Profesional,1,TRUE
Programa Thepowermba,Programa Thepowermba,1,TRUE
Proinversion,Proinversion,1,TRUE
Project Control,Project Control,1,TRUE
Project Management Certifica,Pm Certifica,1,FALSE
Project Management Institute,Project Management Institute (Pmi),9,FALSE
Project Management Institute (Pmi),Project Management Institute (Pmi),2,TRUE
Project Management Instituto (Pmi),Project Management Institute (Pmi),2,FALSE
Project Managment Institute,Project Management Institute (Pmi),1,FALSE
Projectum,Projectum,1,TRUE
Protiviti,Protiviti,1,TRUE
Pucp,Pontificia Universidad Catolica Del Peru,4,FALSE
Pucp - Instituto Para La Calidad,Instituto Para La Calidad - Pucp,3,FALSE
Qlc,Qlc,6,TRUE
Qualita Education,Qualita Education,1,TRUE
Quality Learning Center,Quality Learning Center,7,TRUE
Quality Learning Center.,Quality Learning Center,1,FALSE
R&Amp;M Certified Enterprise Group,R&Amp;M Certified Enterprise Group,2,TRUE
Real Systems,Real Systems,1,TRUE
Red Latina De Recursos Humanos,Red Latina De Recursos Humanos,1,TRUE
Red Latina De Rrhh,Red Latina De Recursos Humanos,1,FALSE
Red Linux,Red Linux,1,TRUE
Redhat Peru,Redhat Peru,1,TRUE
Repensar,Repensar,1,TRUE
Repensar Educativo,Repensar Educativo,1,TRUE
Rimac,Rimac Seguros S.A.C.,1,FALSE
Rimac Seguros S.A.C.,Rimac Seguros S.A.C.,1,TRUE
Rioja,Universidad Internacional De La Rioja,3,FALSE
Risk Consulting,Risk Consulting,1,TRUE
Rocketbot,Rocketbot,1,TRUE
Rules Cube,Rules Cube,1,TRUE
Ryc Consulting,Ryc Consulting,1,TRUE
Safe,Safe Sale Agile,1,FALSE
Safe Sale Agile,Safe Sale Agile,1,TRUE
Saint De Venezuela,Saint De Venezuela,1,TRUE
San Ignacio De Loyola,Universidad San Ignacio Del Loyola,4,FALSE
San Juan Bautista,Universidad Privada San Juan Bautista,1,FALSE
Sandler Training Peru,Sandler Training Peru,1,TRUE
Sao Paulo,Sao Paulo,1,TRUE
Sap,Sap,2,TRUE
Sapia,Corporacion Sapia,1,FALSE
School Of Technology And Computer Science,School Of Technology And Computer Science,1,TRUE
Scrum,Scrum,1,TRUE
Scrum Alliance,Scrum Alliance,9,TRUE
Scrum Manager,Scrum Manager,1,TRUE
Scrum Org,Scrum Study,1,FALSE
Scrum Org.,Scrum Study,1,FALSE
Scrum Study,Scrum Study,14,TRUE
Scrum Study Certification,Scrum Study,2,FALSE
Scrum Study Org,Scrum Study,1,FALSE
Scrum.Org,Scrum Study,4,FALSE
Scrumstudy,Scrum Study,33,FALSE
Scrumstudy - Accreditation Body For Scrum And Agile,Scrum Study,1,FALSE
Scum Study,Scrum Study,3,FALSE
Sebrae Brasil,Sebrae Brasil,1,TRUE
Semcocad,Semcocad,1,TRUE
Seminarios Top,Seminarios Top,1,TRUE
Senati,Senati,37,TRUE
Senati - Chiclayo,Senati,2,FALSE
Senati - Cusco,Senati,1,FALSE
Senati - Programa Nacional De Informatica,Senati,26,FALSE
Senati- Callao,Senati,1,FALSE
Senati -Lima,Senati,1,FALSE
Senati-Lima,Senati,1,FALSE
Sencico,Instituto Sencico,2,FALSE
Sencico Escuela Superior Tecnica,Instituto Sencico,3,FALSE
Servir-Peru,Servir-Peru,1,TRUE
Sgs,Sgs Academy,1,FALSE
Sgs Academy,Sgs Academy,4,TRUE
Sidem,Sidem,1,TRUE
Siemens Training Center,Siemens Training Center,1,TRUE
Sinergia,Sinergia,1,TRUE
Sise,Instituto Superior Sise,2,FALSE
Sissertel-Certmind,Instituto De Certificacion Sissertel,1,FALSE
Sistemas Informaticos Del Valle,Sistemas Informaticos Del Valle,1,TRUE
Sistemas Uni,Sistemas Uni,31,TRUE
Sistemas Uni_Excel Avanzado,Sistemas Uni,1,FALSE
Sistemasuni,Sistemas Uni,4,FALSE
Sj Agile Consulting,Sj Agile Consulting,4,TRUE
Skill - Centro De Capacitacion,Skill - Centro De Capacitacion,3,TRUE
Skill Centro De Capacitacion,Skill - Centro De Capacitacion,1,FALSE
Smart Data Consulting,Smart Data Consulting,3,TRUE
Social Data Consulting,Social Data Consulting,8,TRUE
Sociedad Nacional De Industrias,Sociedad Nacional De Industrias,1,TRUE
Sociedad Peruana De Desarrollo En Bienes Raices,Sociedad Peruana De Desarrollo En Bienes Raices,1,TRUE
Sollearn,Sollearn,1,TRUE
Sololearn,Sololearn,1,TRUE
Ssma Peru,Ssma Peru,1,TRUE
Stanford University (Ca),Stanford University (Ca),1,TRUE
Starley Sac,Starley Sac,1,TRUE
Step To Business,Step To Business,1,TRUE
Studyscrum,Scrum Study,1,FALSE
Sudesco Energy,Sudesco Energy,1,TRUE
Summa Center,Summa Center,1,TRUE
Sydney College Of Business And Ti - Scbit,Sydney College Of Business And Ti - Scbit,2,TRUE
Sydney College Of Business And Ti ? Scbit,Sydney College Of Business And Ti - Scbit,1,FALSE
Synopsis,Synopsis,1,TRUE
Sypsoft S.A.,Sypsoft S.A.,1,TRUE
Systematic S.A.,Systematic S.A.,1,TRUE
Talentus,Talentus,2,TRUE
Talleres Oracle,Talleres Oracle,1,TRUE
Talleresoracle,Talleres Oracle,1,FALSE
Talma Training,Talma Training,1,TRUE
Teacher Online,Teacher Online,1,TRUE
Tec Management,Tec Management,1,TRUE
Tech,Tech,1,TRUE
Tecnologico De Monterrey,Tecnologico De Monterrey,2,TRUE
Tecsel,Tecsel,1,TRUE
Tecsup,Tecsup,124,TRUE
Tecsup - Arequipa,Tecsup,3,FALSE
Telepsup,Universidad Privada Telesup,1,FALSE
Telesup,Universidad Privada Telesup,16,FALSE
"The City University Of New York, Queens College","The City University Of New York, Queens College",1,TRUE
The Open Group,The Open Group,1,TRUE
The Powermba,The Powermba,1,TRUE
The Sustainable Design School,The Sustainable Design School,1,TRUE
"The University Of Sydney, Australia","The University Of Sydney, Australia",1,TRUE
Thepowermba,Thepowermba,3,TRUE
Tismart,Tismart,1,TRUE
Titulado,Titulado,1,TRUE
Tkapacito,Tkapacito,1,TRUE
Todotic,Todotic,1,TRUE
Total Reward,Total Reward,1,TRUE
Toulose,Instituto Superior De Comunicacion Y Diseno Toulouse Lautrec,1,FALSE
Toulouse Lautrec,Instituto Superior De Comunicacion Y Diseno Toulouse Lautrec,2,FALSE
Trabajo Social,Trabajo Social,1,TRUE
Tsoft,Tsoft,1,TRUE
Tubartender Bar Academy,Tubartender Bar Academy,1,TRUE
U. Adolfo Ibanez,U. Adolfo Ibanez,1,TRUE
U. Diego Portales,U. Diego Portales,1,TRUE
U. N. Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
U.Continental,Universidad Continental De Ciencias E Ingenieria,1,FALSE
U.N Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
U.N. Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,3,FALSE
U.N. Pedro Ruiz Gallo,Universidad Nacional Pedro Ruiz Gallo,1,FALSE
U.N.I. - Facultad De Ingenieria Industrial Y De...,Universidad Nacional De Ingenieria,1,FALSE
U.N.J.F.S.C,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
U.P.S.M.P.,Universidad De San Martin De Porres,1,FALSE
Uap,Universidad Alas Peruanas,1,FALSE
Ubits,Ubits,1,TRUE
Ucademy,Ucademy,8,TRUE
Ucal,Ucal,9,TRUE
Ucam,Universidad Catolica San Antonio De Murcia,1,FALSE
Uci Universidad De La Ciencias Informaticas (Acm-Icpc Caribbean Finals),Uci Universidad De La Ciencias Informaticas (Acm-Icpc Caribbean Finals),1,TRUE
Ucic,Ucic,1,TRUE
Ucic - Interbank,Ucic,2,FALSE
Ucss,Universidad Catolica Sedes Sapientiae,1,FALSE
Ucv,Universidad Cesar Vallejo,4,FALSE
Ucv-Lima Norte,Universidad Cesar Vallejo,10,FALSE
Udacity,Udacity,1,TRUE
Udemy,Udemy,43,TRUE
Udemy (Videotutoriales Via Internet),Udemy,2,FALSE
Udemy (Virtual),Udemy,1,FALSE
Udemy Academy,Udemy,1,FALSE
Udemy E-Learning,Udemy,1,FALSE
Udemy For Business,Udemy,1,FALSE
Udep,Universidad De Piura,3,FALSE
Uedmi,Uedmi,1,TRUE
Uigv,Universidad Inca Garcilaso De La Vega,6,FALSE
Uiniversidad Inca Garcilaso De La Vega,Universidad Inca Garcilaso De La Vega,1,FALSE
Uiversidad Peruana Union,Uiversidad Peruana Union,1,TRUE
Uladech,Universidad Catolica Los Angeles De Chimbote,9,FALSE
Ultra Group,Ultra Group,1,TRUE
Umsm,Universidad Nacional Mayor De San Marcos,1,FALSE
Un. Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,2,FALSE
Unas,Universidad Nacional Agraria De La Selva,2,FALSE
Uncp,Universidad Nacional Del Centro Del Peru,1,FALSE
Undac,Undac,3,TRUE
Undemy,Udemy,1,FALSE
Une Enrique Guzman Y Valle,Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,7,FALSE
Unefa,Unefa,1,TRUE
Unfv,Universidad Nacional Federico Villarreal,1,FALSE
Unfv Y Idat,Universidad Nacional Federico Villarreal,1,FALSE
Unfv6,Universidad Nacional Federico Villarreal,1,FALSE
Uni,Universidad Nacional De Ingenieria,12,FALSE
Uni. Nacional Autonoma De Mexico - Coursera,Uni. Nacional Autonoma De Mexico - Coursera,3,TRUE
Uni.Nac. Mayor De San Marcos,Universidad Nacional Mayor De San Marcos,2,FALSE
Unicad,Unicad,2,TRUE
Unife,Universidad Femenina Del Sagrado Corazon,9,FALSE
Unila,Unila,3,TRUE
Unir,Universidad Internacional De La Rioja,3,FALSE
Unir - Universidad Internacional La Rioja,Universidad Internacional De La Rioja,1,FALSE
Unir (Espana),Universidad Internacional De La Rioja,1,FALSE
Unir (Uni. De Rioja),Universidad Internacional De La Rioja,1,FALSE
Univ. Gran Mariscal De Ayacucho,Universidad Nororiental Gran Mariscal De Ayacucho,3,FALSE
Univ. Ramon Llul La Salle Sede Barcelona,Universidad La Salle De Barcelona,1,FALSE
Univ. Telesup,Universidad Privada Telesup,2,FALSE
Univ.Tecnologica Del Peru,Universidad Tecnologica Del Peru,1,FALSE
Univeridad Autonoma Del Peru,Universidad Autonoma Del Peru,26,FALSE
Univeridad De Lima,Universidad De Lima,22,FALSE
Univeridad Privada Del Norte,Universidad Privada Del Norte,40,FALSE
Universidad Adolfo Ibanez,Universidad Adolfo Ibanez,1,TRUE
Universidad Agraria La Molina,Universidad Nacional Agraria La Molina,5,FALSE
Universidad Alas Peruanas,Universidad Alas Peruanas,102,TRUE
Universidad Alejandro De Humboldt,Universidad Privada Alejandro De Humboldt,14,FALSE
Universidad Andina Del Cusco,Universidad Andina Del Cusco,5,TRUE
Universidad Andina Nestor Caceres Velasquez,Universidad Andina Nestor Caceres Velasquez,1,TRUE
Universidad Anhembi Morumbi,Universidad Anhembi Morumbi,1,TRUE
Universidad Antonio Ruiz De Montoya,Universidad Antonio Ruiz De Montoya,6,TRUE
Universidad Austral,Universidad Austral,1,TRUE
Universidad Autonoma,Universidad Autonoma Del Peru,2,FALSE
Universidad Autonoma De Colombia,Universidad Autonoma De Colombia,1,TRUE
Universidad Autonoma De Ica,Universidad Autonoma De Ica,1,TRUE
Universidad Autonoma Del Peru,Universidad Autonoma Del Peru,39,TRUE
Universidad Autonoma Del Peru - Lima,Universidad Autonoma Del Peru,1,FALSE
Universidad Autonoma San Francisco,Universidad Autonoma San Francisco,1,TRUE
Universidad Bicentenaria De Aragua,Universidad Bicentenaria De Aragua,4,TRUE
Universidad Bolivariana De Venezuela,Universidad Bolivariana De Venezuela,1,TRUE
Universidad Camilo Jose Cela,Universidad Camilo Jose Cela,1,TRUE
Universidad Cardenal Herrera (Ceu),Universidad Cardenal Herrera (Ceu),1,TRUE
Universidad Carlos Iii De Madrid,Universidad Carlos Iii De Madrid,2,TRUE
Universidad Catolica,Pontificia Universidad Catolica Del Peru,1,FALSE
Universidad Catolica Andres Bello,Universidad Catolica Andres Bello,1,TRUE
Universidad Catolica Boliviana De La Paz,Universidad Catolica Boliviana De La Paz,1,TRUE
Universidad Catolica De Chile,Universidad Catolica De Chile,4,TRUE
Universidad Catolica De Santa Maria - Arequipa,Universidad Catolica De Santa Maria - Arequipa,2,TRUE
Universidad Catolica De Trujillo,Universidad Catolica De Trujillo Benedicto Xvi,3,FALSE
Universidad Catolica De Trujillo Benedicto Xvi,Universidad Catolica De Trujillo Benedicto Xvi,1,TRUE
Universidad Catolica Del Peru,Pontificia Universidad Catolica Del Peru,5,FALSE
Universidad Catolica Los Angeles De Chimbote,Universidad Catolica Los Angeles De Chimbote,4,TRUE
Universidad Catolica Portuguesa,Universidad Catolica Portuguesa,1,TRUE
Universidad Catolica San Antonio De Murcia,Universidad Catolica San Antonio De Murcia,4,TRUE
Universidad Catolica San Pablo,Universidad Catolica San Pablo,18,TRUE
Universidad Catolica San Pablo.,Universidad Catolica San Pablo,2,FALSE
Universidad Catolica Santa Maria,Universidad Catolica Santa Maria,14,TRUE
Universidad Catolica Santa Rosa,Universidad Catolica Santa Rosa,1,TRUE
Universidad Catolica Santo Toribio De Mogrovejo,Universidad Catolica Santo Toribio De Mogrovejo,23,TRUE
Universidad Catolica Sede Sapientiae,Universidad Catolica Sedes Sapientiae,2,FALSE
Universidad Catolica Sedes Sapientae,Universidad Catolica Sedes Sapientiae,1,FALSE
Universidad Catolica Sedes Sapientiae,Universidad Catolica Sedes Sapientiae,17,TRUE
Universidad Central De Venezuela,Universidad Central De Venezuela,6,TRUE
Universidad Centroccidental Lisandro Alvarado Ucla,Universidad Centroccidental Lisandro Alvarado Ucla,1,TRUE
Universidad Cesar Vallejo,Universidad Cesar Vallejo,232,TRUE
Universidad Cesar Vallejo - Chimbote,Universidad Cesar Vallejo,4,FALSE
Universidad Cesar Vallejo - Lima,Universidad Cesar Vallejo,5,FALSE
Universidad Cesar Vallejo - Lima Norte,Universidad Cesar Vallejo,4,FALSE
Universidad Cesar Vallejo - Piura,Universidad Cesar Vallejo,6,FALSE
Universidad Cesar Vallejo - Trujilllo,Universidad Cesar Vallejo,23,FALSE
Universidad Cesar Vallejo (Comas),Universidad Cesar Vallejo,1,FALSE
Universidad Cesar Vallejo Lima - Norte,Universidad Cesar Vallejo,1,FALSE
Universidad Cesar Vallejo Lima Este 7Ciclo,Universidad Cesar Vallejo,2,FALSE
Universidad Cesar Vallejo Lima Norte,Universidad Cesar Vallejo,3,FALSE
Universidad Cientifica Del Peru,Universidad Cientifica Del Sur,3,FALSE
Universidad Cientifica Del Sur,Universidad Cientifica Del Sur,86,TRUE
Universidad Cientifica Del Sur (Ucsur) - Lima.,Universidad Cientifica Del Sur,1,FALSE
Universidad Complutense De Madrid,Universidad Complutense De Madrid,2,TRUE
Universidad Continenral,Universidad Continental De Ciencias E Ingenieria,1,FALSE
Universidad Continental,Universidad Continental De Ciencias E Ingenieria,8,FALSE
Universidad Continental - Huancayo,Universidad Continental De Ciencias E Ingenieria,1,FALSE
Universidad Continental De Ciencias E Ingenieria,Universidad Continental De Ciencias E Ingenieria,30,TRUE
"Universidad Continental Postgrado. Culminado,2021.",Universidad Continental De Ciencias E Ingenieria,1,FALSE
Universidad Continetal De Ciencia E Informaticas,Universidad Continental De Ciencias E Ingenieria,1,FALSE
Universidad Cooperativa De Colombia,Universidad Cooperativa De Colombia,3,TRUE
Universidad De Alcala,Universidad De Alcala,6,TRUE
Universidad De Alicante,Universidad De Alicante,1,TRUE
Universidad De Almeria,Universidad De Almeria,1,TRUE
Universidad De Barcelona,Universidad De Barcelona,3,TRUE
Universidad De Barcelona / Online,Universidad De Barcelona,9,FALSE
Universidad De Buenos Aires,Universidad De Buenos Aires,1,TRUE
Universidad De California - Berkeley,Universidad De California - Berkeley,1,TRUE
Universidad De Carabobo,Universidad De Carabobo,2,TRUE
Universidad De Catalunya,Universidad De Catalunya,2,TRUE
Universidad De Ciencias Aplicadas,Universidad Peruana De Ciencias Aplicadas,3,FALSE
Universidad De Ciencias Aplicadas - Epe,Universidad Peruana De Ciencias Aplicadas,1,FALSE
Universidad De Ciencias Aplicadas Upc,Universidad Peruana De Ciencias Aplicadas,3,FALSE
Universidad De Ciencias Y Humanidades,Universidad De Ciencias Y Humanidades,18,TRUE
Universidad De Costa Rica,Universidad De Costa Rica,3,TRUE
Universidad De Guadalajara,Universidad De Guadalajara,1,TRUE
Universidad De Huanuco,Universidad De Huanuco,3,TRUE
Universidad De Ingenieria,Universidad Nacional De Ingenieria,1,FALSE
Universidad De Ingenieria Y Tecnologia - Utec,Universidad De Ingenieria Y Tecnologia - Utec,10,TRUE
Universidad De La Rioja,Universidad De La Rioja,7,TRUE
Universidad De Lambayeque,Universidad De Lambayeque,3,TRUE
Universidad De Las Americas,Universidad De Las Americas,4,TRUE
Universidad De Leon,Universidad De Leon,1,TRUE
Universidad De Lima,Universidad De Lima,227,TRUE
Universidad De Los Andes,Universidad De Los Andes,2,TRUE
Universidad De Margarita,Universidad De Margarita,2,TRUE
Universidad De Medellin,Universidad De Medellin,2,TRUE
Universidad De Monterrey,Universidad De Monterrey,2,TRUE
Universidad De Oriente,Universidad De Oriente,7,TRUE
Universidad De Palermo,Universidad De Palermo,3,TRUE
Universidad De Piura,Universidad De Piura,19,TRUE
Universidad De Piura - Campus Lima,Universidad De Piura,1,FALSE
Universidad De Piura (Lima),Universidad De Piura,1,FALSE
Universidad De Piura (Udep),Universidad De Piura,1,FALSE
Universidad De Piura Campus Lima,Universidad De Piura,1,FALSE
Universidad De Piura(Udep),Universidad De Piura,4,FALSE
Universidad De Piura. Campus - Lima,Universidad De Piura,1,FALSE
Universidad De Quebec,Universidad De Quebec,2,TRUE
Universidad De Salamanca,Universidad De Salamanca,1,TRUE
Universidad De San Martin De Porres,Universidad De San Martin De Porres,198,TRUE
Universidad De San Pedro,Universidad De San Pedro,1,TRUE
Universidad De Santander,Universidad De Santander,1,TRUE
Universidad De Tarapaca,Universidad De Tarapaca,1,TRUE
Universidad De Valladolid,Universidad De Valladolid,1,TRUE
Universidad De Virginia,Universidad De Virginia,2,TRUE
Universidad Del Azuay,Universidad Del Azuay,1,TRUE
Universidad Del Desarrollo,Universidad Del Desarrollo,1,TRUE
Universidad Del Pacifico,Universidad Del Pacifico,114,TRUE
Universidad Del Valle,Universidad Del Valle,1,TRUE
Universidad Del Zulia,Universidad Del Zulia,1,TRUE
Universidad Eafit,Universidad Eafit,1,TRUE
Universidad Esan,Universidad Esan,245,TRUE
Universidad Europea De Madrid,Universidad Europea De Madrid,14,TRUE
Universidad Europea Del Atlantico,Universidad Europea Del Atlantico,4,TRUE
Universidad Experimental De Las Fuerzas Armadas,Universidad Experimental De Las Fuerzas Armadas,1,TRUE
Universidad Femenina Del Sagrado Corazon,Universidad Femenina Del Sagrado Corazon,10,TRUE
Universidad Femenina Del Sagrado Corazon - Unife,Universidad Femenina Del Sagrado Corazon,1,FALSE
Universidad Fermin Toro,Universidad Fermin Toro,1,TRUE
Universidad Inca Garcilaso De La Vega,Universidad Inca Garcilaso De La Vega,173,TRUE
Universidad Inca Garcilazo De La Vega,Universidad Inca Garcilaso De La Vega,1,FALSE
Universidad Industrial De Santander,Universidad Industrial De Santander,2,TRUE
Universidad Internacional De La Rioja,Universidad Internacional De La Rioja,3,TRUE
Universidad Internacional De La Rioja - Unir,Universidad Internacional De La Rioja,1,FALSE
Universidad Internacional De Valencia,Universidad Internacional De Valencia,6,TRUE
Universidad Jaime Bausate Y Meza,Universidad Jaime Bausate Y Meza,1,TRUE
Universidad Jose Antonio Paez,Universidad Jose Antonio Paez,5,TRUE
Universidad Jose Antonio Paez (Ujap),Universidad Jose Antonio Paez,1,FALSE
Universidad Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,5,FALSE
Universidad Jose Faustino Sanchez Carrion - Huacho,Universidad Nacional Jose Faustino Sanchez Carrion,28,FALSE
Universidad Jose Maria Vargas,Universidad Jose Maria Vargas,1,TRUE
Universidad La Catolica Sede Sapientiae,Universidad Catolica Sedes Sapientiae,1,FALSE
Universidad La Salle,Universidad La Salle De Barcelona,2,FALSE
Universidad La Salle De Barcelona,Universidad La Salle De Barcelona,3,TRUE
Universidad Las Americas,Universidad Las Americas,1,TRUE
Universidad Las Peruana Americas,Universidad Las Americas,2,FALSE
Universidad Latinoamericana De Ciencia Y Tecnologia,Universidad Latinoamericana De Ciencia Y Tecnologia,2,TRUE
Universidad Le Cordon Bleu,Universidad Le Cordon Bleu,1,TRUE
Universidad Los Angeles De Chimbote,Universidad Los Angeles De Chimbote,3,TRUE
Universidad Marcelino Champagnat,Universidad Marcelino Champagnat,8,TRUE
Universidad Mayor De San Marcos,Universidad Mayor De San Marcos,24,TRUE
Universidad Metropolitana,Universidad Metropolitana,4,TRUE
Universidad N. Wiener,Universidad Norbert Wiener,11,FALSE
Universidad Nac. Jose Faustino Sanchez Carrion,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Naciona Del Callao,Universidad Nacional De Callao,1,FALSE
Universidad Nacional &Quot;Jose Faustino Sanchez Carrion&Quot;,Universidad Nacional Jose Faustino Sanchez Carrion,1,FALSE
Universidad Nacional Abierta,Universidad Nacional Abierta,2,TRUE
Universidad Nacional Agraria De La Selva,Universidad Nacional Agraria De La Selva,4,TRUE
Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina,34,TRUE
Universidad Nacional Daniel Alcides Carrion,Universidad Nacional Daniel Alcides Carrion,3,TRUE
Universidad Nacional De Cajamarca,Universidad Nacional De Cajamarca,12,TRUE
Universidad Nacional De Callao,Universidad Nacional De Callao,9,TRUE
Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,Universidad Nacional De Educacion Enrique Guzman Y Valle - La Cantuta,12,TRUE
Universidad Nacional De Ingenieria,Universidad Nacional De Ingenieria,206,TRUE
Universidad Nacional De Ingenieria - Ceps,Universidad Nacional De Ingenieria,2,FALSE
Universidad Nacional De Ingenieria - Infouni,Universidad Nacional De Ingenieria,1,FALSE
Universidad Nacional De La Amazonia Peruana,Universidad Nacional De La Amazonia Peruana,2,TRUE
Universidad Nacional De Moquegua,Universidad Nacional De Moquegua,3,TRUE
Universidad Nacional De Piura,Universidad Nacional De Piura,26,TRUE
Universidad Nacional De San Agustin,Universidad Nacional San Agustin De Arequipa,1,FALSE
Universidad Nacional De San Agustin De Arequipa,Universidad Nacional San Agustin De Arequipa,1,FALSE
Universidad Nacional De San Antonio Abad Del Cusco,Universidad Nacional De San Antonio Abad Del Cusco,2,TRUE
Universidad Nacional De San Aug,Universidad Nacional De San Aug,1,TRUE
Universidad Nacional De San Cristobal De Huamanga,Universidad Nacional De San Cristobal De Huamanga,4,TRUE
Universidad Nacional De San Martin,Universidad Nacional De San Martin,10,TRUE
Universidad Nacional De Trujillo,Universidad Nacional De Trujillo,45,TRUE
Universidad Nacional De Trujillo - Unt,Universidad Nacional De Trujillo,1,FALSE
Universidad Nacional De Trujilo,Universidad Nacional De Trujillo,3,FALSE
Universidad Nacional De Tumbes,Universidad Nacional De Tumbes,4,TRUE
Universidad Nacional De Ucayali,Universidad Nacional De Ucayali,1,TRUE
Universidad Nacional Del Altiplano - Puno,Universidad Nacional Del Altiplano - Puno,8,TRUE
Universidad Nacional Del Callao,Universidad Nacional Del Callao,103,TRUE
Universidad Nacional Del Centro Del Peru,Universidad Nacional Del Centro Del Peru,21,TRUE
Universidad Nacional Del Santa,Universidad Nacional Del Santa,15,TRUE
Universidad Nacional Exp De Guayana,Universidad Nacional Exp De Guayana,2,TRUE
Universidad Nacional Exp De Los Llanos Centrales Romulo Gallegos,Universidad Nacional Exp De Los Llanos Centrales Romulo Gallegos,1,TRUE
