careerDegree,newCareerDegree,count
Itil,Tecnico,3
Licenciada En Trabajo Social,Licenciado,3
Maestria En Administracion (M.B.A.),Maestria,3
Maestria En Seguridad Informatica,Maestria,3
Maestria Execute Mba,Maestria,3
Marketing,Egresado,3
Master Of Business Administration (M.B.A.),Maestria,3
Pregrado,Universitario,3
React Js,Tecnico,3
.Net Web Developer,Tecnico,2
Administracion,Tecnico,2
Administrador De Empresas,Tecnico,2
Associate Of Science - As,Tecnico,2
Azure Administrator,Tecnico,2
Bachelor Of Business Administration - Bba,Bachiller,2
Bachelor Of Science - Bs,Bachiller,2
Bachelor Of Technology (Btech),Bachiller,2
Bachiller En Ingenieria,Bachiller,2
Bachiller En Ingenieria Empresarial,Bachiller,2
Ciclo Formativo De Grado Medio,Tecnico,2
Ciclo Formativo De Grado Superior,Tecnico,2
Cloud Computing With Microsoft Azure & Aws,Certificacion,2
Completo,Tecnico,2
Curso Conducente A La Obtencion Del Titulo Profesional,Titulado,2
Curso De Preparacion Para El Examen Pmp,Certificacion,2
Data Scientist,Tecnico,2
Desarrollador,Tecnico,2
Desarrollador De Aplicaciones Web,Tecnico,2
Diplomado De Especializacion En Recursos Humanos,Diplomado,2
Diplomado En Automatizacion Industrial,Diplomado,2
Diplomado En Seguridad De La Informacion Y Auditoria De Sistemas De Informacion,Diplomado,2
Diplomado En Seguridad Hacking Etico,Diplomado,2
Diseno De Experiencia Del Usuario (Ux),Tecnico,2
Egresado Tecnico En Computacion E Informatica,Egresado,2
En Curso,Tecnico,2
Especialista En Desarrollo De Software,Especializacion,2
Especialista En Gestion De Proyectos,Especializacion,2
Especialista En Lengua Extranjera,Especializacion,2
Especialista En Sql Server Data Base Administrator,Especializacion,2
Especializacion En Gerencia De Proyectos,Especializacion,2
Especializacion En Ingenieria De Software,Especializacion,2
Estudiante (Ultimo Ciclo),Universitario,2
Estudiante Universitario,Universitario,2
Experto En Arquitectura De Datos En Cloud Aws,Certificacion,2
Facultad De Ingenieria Y Arquitectura,Universitario,2
Full Stack Developer,Tecnico,2
Grado,Egresado,2
Grado En Administracion Y Direccion De Tecnologias,Egresado,2
Grado En Arquitectura Tecnica,Egresado,2
Graphic Designer,Tecnico,2
High School Diploma,Diplomado,2
Ing Informatica E Sistemas,Egresado,2
Ing. De Sistemas,Egresado,2
Ing. Sistemas E Informatica,Egresado,2
Ingenieria De Redes Y Telecomunicaciones,Egresado,2
Ingenieria Empresariales Y De Sistemas,Egresado,2
Ingenieria Industrial Y Comercial,Egresado,2
Ingenieria Informatica Y De Sistemas,Egresado,2
Ingenieria Mecanica,Egresado,2
Ingeniero De Sistemas Computacionales,Egresado,2
Ingeniero De Sistemas De Informacion,Egresado,2
Ingeniero De Sistemas De La Informacion,Egresado,2
Ingeniero De Telecomunicaciones,Egresado,2
Ingeniero En Sistemas E Informatica,Egresado,2
Ingeniero Titulado,Titulado,2
Ingles,Tecnico,2
Maestria Direccion De Sistemas Y Ti,Maestria,2
Maestria En Administracion De Negocios,Maestria,2
Maestria En Direccion De Operaciones Y Logistica,Maestria,2
Maestria En Direccion Estrategica En Ingenieria De Software,Maestria,2
Maestria En Finanzas,Maestria,2
Maestria En Gestion De Tecnologias De La Informacion,Maestria,2
Maestria En Ingenieria De Sistemas,Maestria,2
Master En Administracion Y Direccion Internacional De Empresas (Mba),Maestria,2
Master En Direccion Tecnologica,Maestria,2
Master En Gerencia Y Administracion,Maestria,2
Master In International Business,Maestria,2
Mba,Maestria,2
Mba Con Especializacion En Project Management,Maestria,2
Online Program,Tecnico,2
Pendiente,Tecnico,2
Post Grado En Ingenieria De Sistemas,Posgrado,2
Postgrado En Especializacion De Tecnologia De Informacion,Posgrado,2
Profesional En Computacion E Informatica,Egresado,2
Profesional Tecnico,Tecnico,2
Profesional Tecnico En Computacion E Informatica,Tecnico,2
Programa De Especializacion En Gestion De Proyectos Y Habilidades Directivas,Especializacion,2
Programa Thepowermba,Maestria,2
Programmer Analyst,Tecnico,2
Strategic Innovation Program,Tecnico,2
Systems And Informatic Engineer,Egresado,2
Tec. Comuputacion E Informatica,Tecnico,2
Technical Professional In Systems Analysis,Tecnico,2
Technical Specialist,Tecnico,2
Tecnico Especialista,Tecnico,2
Titulado Ingenieria Informatica,Titulado,2
Titulo Profesional,Titulado,2
Titulo Universitario De Ingenierio De Sistemas,Titulado,2
Trabajo Social,Egresado,2
Transformacion Digital,Tecnico,2
Tsu,Tecnico,2
Ux/Ui Designer,Tecnico,2
Visual Studio 2015 Web Developer - C#,Tecnico,2
Visual Studio 2019 Developer,Tecnico,2
2011,,1
2015,,1
2Da Carrera : Ingenieria Empresarial Y De Sistemas,Egresado,1
Abogacia,Egresado,1
Actualmente Estudiante,Universitario,1
Administracion De Base De Datos Sql Server 2012,Tecnico,1
Administracion De Empresas,Egresado,1
Administracion En Riesgos Y Seguros,Egresado,1
Administracion Y Negocios Internacionales,Egresado,1
Administracion Y Sistema,Egresado,1
Administrador De Base De Datos,Egresado,1
Administrador De Negocios Internacionales,Tecnico,1
Administrador De Redes Y Comunicaciones,Tecnico,1
Administrador De Redes Y Telecomunicaciones,Egresado,1
Administradora De Empresas - Marketing,Egresado,1
Agile It Management: Scrum,Certificacion,1
Analisis De Negocios - Cbap,Certificacion,1
Applied Technology,Certificacion,1
Arquitecto,Egresado,1
Associate - Information Storage And Management Version 4.0 Certificate,Certificacion,1
Associate Degree In Information Systems Development,Certificacion,1
Azure Administrator - Certified Az 104,Certificacion,1
Azure Administrator Az-104,Certificacion,1
Bacharelado Em Estatistica E Informatica,Bachiller,1
Bachelor Degree Of Social Worker,Bachiller,1
Bachelor Of Applied Science - Basc,Bachiller,1
Bachelor Of Business Administration (B.B.A.),Bachiller,1
Bachelor Of Business Administration (Bba),Bachiller,1
Bachelor Of Computer & System Enginner,Bachiller,1
Bachelor Of Industrial And Systems Engineering,Bachiller,1
Bachelor Of Industrial Engineering,Bachiller,1
Bachelor Of Laws - Llb,Bachiller,1
Bachelor Of Technology - Btech,Bachiller,1
Bachelor Of Telecommunication Engineering,Bachiller,1
Bachiller De Ingenieria Electronica,Bachiller,1
Bachiller De Ingenieria Empresarial Y De Sistemas,Bachiller,1
Bachiller De Trabajo Social,Bachiller,1
Bachiller En Administracion De Empresas,Bachiller,1
Bachiller En Ciencias Administrativas Turisticas Y Hoteleras,Bachiller,1
Bachiller En Ciencias De Ingenieria De Sistemas Y Computacion,Bachiller,1
Bachiller En Comunicacion Social,Bachiller,1
Bachiller En Fisica,Bachiller,1
Bachiller En Ing Sistemas E Informatica,Bachiller,1
Bachiller En Ing. De Sistemas,Bachiller,1
Bachiller En Ingenieria De Computacion Y Sistemas,Bachiller,1
Bachiller En Ingenieria De Negocios,Bachiller,1
Bachiller En Ingenieria Electronica,Bachiller,1
Bachiller En Ingenieria Industrial,Bachiller,1
Bachiller En Marketing E Innovacion - 2021,Bachiller,1
Bachiller Ene Ingenieria De Gestion Empresarial,Bachiller,1
Bachiller Ing. Sistemas,Bachiller,1
Bachiller Ingenieria De Sistemas,Bachiller,1
Bachiller Ingenieria Empresarial Y De Sistemas,Bachiller,1
Bachiller Ingenieria Industrial,Bachiller,1
Bachiller Ingieneria De Sistemas E Informatica,Bachiller,1
Bachiller Profesional,Bachiller,1
Bachiller Tecnico,Bachiller,1
Bachiller Universitario,Bachiller,1
Bachillerato Ingeneria Informatica,Bachiller,1
Bootcamp: Desarrollo Web Full Stack,Universitario,1
Business Process Management Bpm,Certificacion,1
Candidato A Mba,Maestria,1
Carrera De Desarrollo Frontend React Js,Tecnico,1
Ccna R&S V7 I,Certificacion,1
Ccna Routing & Switching,Certificacion,1
Ccna V7,Certificacion,1
Certificacion En Analisis De Datos - Laboratoria E Ibm,Certificacion,1
Certificacion Internacional En Coaching Ontologico Icf,Certificacion,1
Certificado De Participacion,Certificacion,1
Certificado Pmp,Certificacion,1
Ciberseguridad - Protegiendo El Vector De Ataque: Endpoint,Certificacion,1
Ciec,Certificacion,1
Ciencias De La Computacion,Egresado,1
Cloud & Devops: Continuous Transformation,Certificacion,1
Cmmi,Certificacion,1
Coaching Ejecutivo,Certificacion,1
Colegiado En Ingenieria De Sistemas Y Computacion,Licenciado,1
Community Management: Empresas 4.0 Y Redes Sociales,Licenciado,1
Community Manager,Licenciado,1
Computacion,Tecnico,1
Computer Software Engineering,Egresado,1
Constancia De Estudios,Universitario,1
Consultor Abap-Sap,Egresado,1
Contador,Egresado,1
Cursando La Maestria De La Direccion De Tecnologia De La Informacion,Maestria,1
"Curso ""Frond-End Javascript Frameworks: Angular""",Certificacion,1
Curso Capacitacion Volte,Certificacion,1
Curso De Actualizacion Profesional,Certificacion,1
Curso De Especializacion En Endomarketing,Certificacion,1
Curso De Formacion De Defensores Y Defensoras Del Servicio De Defensoria De La N.N.A.,Certificacion,1
Curso De Illustrator,Certificacion,1
Curso De Scrum Master Con Certificacion Internacional,Certificacion,1
Curso De Seguridad Y Defensa Nacional,Certificacion,1
Curso Elaboracion De Indicadores,Certificacion,1
Curso En Contrataciones Del Estado,Certificacion,1
Curso Oficial Az-100 Microsoft Azure Infrastructure And Deployment,Certificacion,1
Curso Superior De Tecnologia (Cst),Certificacion,1
Data Analysis With Python,Certificacion,1
Data Engineering Nanodegree,Egresado,1
Datascience,Egresado,1
Degree In Engineerin,Egresado,1
Desarollador De Software,Tecnico,1
Desarrollador Web Front End,Tecnico,1
Desarrollador Web Full Stack,Tecnico,1
Desarrollo De Sistemas,Tecnico,1
Desarrollo Web Con Html5,Tecnico,1
Developer,Tecnico,1
Digital Product Design,Licenciado,1
Digital Transformation,Licenciado,1
Digital Transformation & Digital Marketing,Licenciado,1
Diploma,Diplomado,1
Diploma De Curso De Tecnico En Big Data,Diplomado,1
Diploma De Especializacion,Diplomado,1
Diploma De Especializacion En Gestion De Proyectos,Diplomado,1
Diploma En Business - Team Coaching,Diplomado,1
Diploma Ifrs Microfinanzas Y Administracion No Reguladas,Diplomado,1
Diploma Internacional En Logistica & Operaciones,Diplomado,1
Diplomado De Servicio Experiencial,Diplomado,1
Diplomado De Tecnologia,Diplomado,1
Diplomado Direccion Financiera,Diplomado,1
Diplomado En Administracion Y Gestion,Diplomado,1
Diplomado En Direccion De Fotografia E Iluminacion,Diplomado,1
Diplomado En Gerencia De Proyectos Bajo Los Lineamientos De La Guia Pmbok(R) (Sexta Version) Del Pmi,Diplomado,1
Diplomado En Innovacion E Integracion Tecnologica,Diplomado,1
Diplomado En Recursos Humanos,Diplomado,1
Diplomado En Ventas,Diplomado,1
Diplomado Gestion Administracion De Empresas,Diplomado,1
Diplomado Gestion De Proyectos,Diplomado,1
Diplomado Gestion Integral De Talento Humano,Diplomado,1
Diplomado Internacional De Especializacion En Gestion De Procesos,Diplomado,1
Diplomado Internacional De Especializacion En Lean Six Sigma Black Belt,Diplomado,1
Diplomado Internacional De Gestion Comercial,Diplomado,1
Diplomado Marketing Digital Aplicado A Los Negocios,Diplomado,1
Diplomatura De Especializacion En Desarrollo De Aplicaciones Con Inteligencia Artificial,Diplomado,1
Diplomatura De Estudio Internacional Empresarial En Gestion Financiera,Diplomado,1
Diplomatura En Analitica De Negocios Y Gestion De La Informacion,Diplomado,1
Diplomatura En Gestion De Proyectos,Diplomado,1
Diplomatura En Gestion Y Mejora De Procesos,Diplomado,1
Diplomatura Internacional Empresarial En Analitica De Negocios Y Gestion De La Informacion,Diplomado,1
Direccion De Arte,Egresado,1
Disenador Grafico,Egresado,1
Disenador Grafico Publicitario,Egresado,1
Disenador Ux/Uix,Egresado,1
Diseno Industrial Y Desarrollo De Productos,Egresado,1
Diseno Publicitario,Egresado,1
Diseno Ux/Ui Avanzado,Egresado,1
Diseno Y Desarrollo De Software,Tecnico,1
Diseno Y Desarrollo De Videojuegos,Tecnico,1
Doctorado(C) En Ingenieria Industrial,Doctorado,1
Economia,Egresado,1
Educacion General Basica,Egresado,1
Egresada De Trabajo Social,Egresado,1
Egresado De La Carrera De Telematica/Informatica Y Sistemas,Egresado,1
Egresado En Diseno Grafico Publicitario,Egresado,1
Egresado En La Carrera De Ingenieria Informatica Y De Sistemas.,Egresado,1
Electronic Engineer,Egresado,1
Engineering,Egresado,1
English Language,Certificacion,1
Especialista En Marketing Digital,Especializacion,1
Especialista En Redes,Especializacion,1
Especialista En Seguridad De Informacion,Especializacion,1
Especialista En Supply Chain Management,Especializacion,1
Especialista Ia & Advanced Analytics,Especializacion,1
Especializacion Bpm.,Especializacion,1
Especializacion En Ciberseguridad,Especializacion,1
Especializacion En Creacion De Empresas,Especializacion,1
Especializacion En Desarrollo Web Front-End,Especializacion,1
Especializacion En Gestion De Proyectos,Especializacion,1
Especializacion En Gestion De Ventas,Especializacion,1
Especializacion En Inteligencia De Negocios Y Analitica De Datos,Especializacion,1
Especializacion En Metodologia Agile Y Scrum,Especializacion,1
Especializacion En Seguridad Y Salud Industrial,Especializacion,1
Especializacion En Tecnologias De La Informacion,Especializacion,1
Especializacion Marketing; Especializacion Banca Y Finanzas,Especializacion,1
Especilizacion En Gestion De Recursos Humanos,Especializacion,1
Estudiante De Ing. De Sistemas,Universitario,1
Estudiante De Ingenieria De Software,Universitario,1
Estudiante De Ingenieria Mecatronica,Universitario,1
Estudiante De La Carrera De Ingenieria De Sistemas E Informatica,Universitario,1
Estudiante De Maestria En Direccion Y Gestion De Ti,Universitario,1
Estudiante De Master En Ciencias Ambientales Mencion Gestion Y Ordenamiento Ambiental De Territorio,Universitario,1
Estudiante De Pregrado En Ingenieria Mecatronica.,Universitario,1
Estudiante Marketing Y Direccion De Empresas,Universitario,1
Estudios Culminados Maestria En Ingenieria De Sistemas Con Mencion En Gestion De Ti.,Maestria,1
Excel Avanzado,Certificacion,1
Executive Leadership,Certificacion,1
Frontend Developer,Tecnico,1
Front-End Developer,Tecnico,1
Full Stack Web Developer,Tecnico,1
Full Tech Developer,Tecnico,1
Fullstack,Tecnico,1
Full-Stack Web Developer,Tecnico,1
Fundamentos Del Proceso Presupuestal Publico,Egresado,1
Gerencia De Proyectos Ti,Egresado,1
Gestion De Almacen E Inventario,Egresado,1
Gestion De Proyectos Con Metodologias Agiles Y Enfoques Lean,Egresado,1
Gestion De Proyectos Pmp 6Ta Edicion,Certificacion,1
Gestion Y Manejo Ambiental Iso 14001,Certificacion,1
Global Executive Master In Business Administration,Maestria,1
Global Service Delivery Model,Tecnico,1
Graduate Certificate Of Applied Finance,Certificacion,1
Habilitado,Universitario,1
Higher Technician In It And Computing,Tecnico,1
Ibm Advanced Career Education (Ace),Certificacion,1
Iii Diplomado En Project Management (Estandar Pmbok(R)),Certificacion,1
Ilustrador,Egresado,1
Industrial,Egresado,1
Informatica Matematica,Tecnico,1
Ing De Sistemas,Egresado,1
Ing De Sistemas E Informatica,Egresado,1
Ing Industrial,Egresado,1
Ing. De Sistemas Gestion Tecnologica,Egresado,1
Ing. De Software,Egresado,1
Ing. En Ejecucion En Informatica,Egresado,1
Ing. En Redes Y Comunicaciones,Egresado,1
Ing. Industrial,Egresado,1
Ing. Sistemas,Egresado,1
Ingeneria De Computacion Y Sistemas,Egresado,1
Ingeneria Electronica,Egresado,1
Ingenerio De Telecomunicaciones,Egresado,1
Ingeniera,Egresado,1
Ingeniera De Gas Natural,Egresado,1
Ingeniera De Telecomunicaciones,Egresado,1
Ingenieria Agronoma,Egresado,1
Ingenieria De Computacion Y Sistemas,Egresado,1
Ingenieria De Computo Y Sistemas,Egresado,1
Ingenieria De Industrial,Egresado,1
Ingenieria De Sistemas E Informaticas,Egresado,1
Ingenieria De Sistemas Empresariales Con Mencion En Gestion De Proyectos Y Seguridad De Ti.,Egresado,1
Ingenieria De Sistemas Y Gestion Empresarial,Egresado,1
Ingenieria Empresarial & Sistemas,Egresado,1
Ingenieria Informatica,Egresado,1
Ingenieria Sistemas,Egresado,1
Ingenieria Y Sistemas,Egresado,1
Ingenierio De Sistemas,Egresado,1
Ingenierio De Sistemas E Informatica,Egresado,1
Ingeniero Civil,Egresado,1
Ingeniero De Sistemas E Infomatica,Egresado,1
Ingeniero De Sistemas Y Computacion,Egresado,1
Ingeniero De Software,Egresado,1
Ingeniero En Sistemas,Egresado,1
Ingeniero En Sistemas De Informacion,Egresado,1
Ingeniero Mecanico,Egresado,1
Ingeniero Quimico,Egresado,1
Ingles Basico,Certificacion,1
Ingles Intermedio B1,Certificacion,1
Innovacion Empresarial,Egresado,1
Instalacion De Gas Natural,Tecnico,1
International Master In Management,Maestria,1
Istqb Foundation,Certificacion,1
It Networking Specialist,Certificacion,1
Itil(R) 2011 Foundations For It Service Managem,Certificacion,1
Itil(R) 4 Foundation,Certificacion,1
John F. Kennedy School Of Government,Maestria,1
Jr Art Director,,1
L,,1
Laboratorio Clinico Y Anatomia Patologica,Egresado,1
Lic. Ciencias De La Computacion Y La Informatica,Licenciado,1
Licenciada De Marketing,Licenciado,1
Licenciada En Administracion De Empresas,Licenciado,1
Licenciada En Administracion Mencion Tributacion,Licenciado,1
Licenciado En Educacion Con Mencion Agropecuaria,Licenciado,1
Licenciatura En Computacion,Licenciado,1
Liderazgo En Inovacion,Egresado,1
Maes,Maestria,1
Maestria Con Mencion En Gerencia De Sistemas De Informacion Y Tecnologias De Informacion,Maestria,1
Maestria De Ingenieria De Sistemas E Informatica,Maestria,1
Maestria De Ingenieria De Sistemas E Informatica Mencion: Ingenieria De Software,Maestria,1
Maestria Ejecutiva En Administracion De Tecnologias De La Informacion,Maestria,1
Maestria En Administracion Con Mencion En Negocios Internacionales Y Logistica De Exportacion,Maestria,1
Maestria En Ciencia De Datos,Maestria,1
Maestria En Ciencias Gastronomicas,Maestria,1
Maestria En Data Science,Maestria,1
Maestria En Direccion De Sistemas Y Tecnologia De Informacion,Maestria,1
Maestria En Direccion De Sistemas Y Tecnologias De La Informacion,Maestria,1
Maestria En Direccion De Sistemas Y Tecnologias De La Informacion.,Maestria,1
Maestria En Direccion De Sistemas Y Ti,Maestria,1
Maestria En Direccion De Tecnologias De Informacion,Maestria,1
Maestria En Educacion Con Mencion En Docencia E Investigacion Universitaria,Maestria,1
Maestria En Educacion Con Mencion En Gestion De La Educacion,Maestria,1
Maestria En Gerencia De Operaciones Y Logistica,Maestria,1
Maestria En Gerencia De Sistemas E Informatica,Maestria,1
Maestria En Gerencia De Tecnologia De La Informacion,Maestria,1
Maestria En Gestion,Maestria,1
Maestria En Gestion De Recursos Humanos,Maestria,1
Maestria En Gestion De Recursos Humanos - Mhrm,Maestria,1
Maestria En Gestion Integral De La Calidad,Maestria,1
Maestria En Gobierno De Ti,Maestria,1
Maestria En Ingenieria De Sistemas Con Mencion En Tecnologias De La Informacion.,Maestria,1
Maestria En Ingenieria De Sistemas E Informatica,Maestria,1
Maestria En Sistemas,Maestria,1
Maestria Ingenieria Industrial,Maestria,1
Maestria Profesional En Gobierno De Ti,Maestria,1
Magister En Administracion De Empresas,Maestria,1
Magister En Administracion Estrategica De Empresas,Maestria,1
Magister En Comportamiento Organizacional Y Recursos Humanos,Maestria,1
Magister En Direccion De Proyectos,Maestria,1
Magister En Finanzas,Maestria,1
Magister En Gobierno De Tecnologia De Informacion,Maestria,1
Magister En Gobierno De Tecnologias De Informacion,Maestria,1
Management Of Technology In Information,Egresado,1
Mapeo De Procesos Con Bizagi,Certificacion,1
Marketing Digital,Licenciado,1
Marketing Y Gestion Comercial,Licenciado,1
Marketing Y Gestion Comercial.,Licenciado,1
Master Datascience Managment (Cdo),Maestria,1
Master De Analisis De Datos Masivos (Bigdata),Maestria,1
Master En Comercio Y Finanzas Internacionales,Maestria,1
Master En Direccion De Marketing Y Direccion Comecial,Maestria,1
Master En Direccion Y Gestion De Proyectos,Maestria,1
Master En Diseno,Maestria,1
Master En Gestion De Riesgos,Maestria,1
Master En Gestion De Tecnologia De Informacion,Maestria,1
Master En Gestion De Tecnologias De La Informacion,Maestria,1
Master En Gestion Y Comunicacion De Entidades Sociales Y Solidarias:,Maestria,1
Master En Inteligencia Artificial,Maestria,1
Master En Project Management,Maestria,1
Master En Responsabilidad Social Corporativa Y Sostenibilidad,Maestria,1
Master Executive En Innovacion Y Emprendimiento,Maestria,1
Master In Business Administration - Mba Full Time,Maestria,1
Master In Business Administration (Mba),Maestria,1
Master In Digital Transformation And Innovation Leadership,Maestria,1
Master In Telecommunications Engineering,Maestria,1
Master Of Architecture - March,Maestria,1
Master Of Computer Applications - Mca,Maestria,1
Master Of Laws (Ll.M.),Maestria,1
Master Of Philosophy - Mphil,Maestria,1
Master Of Science - Ms,Maestria,1
Master Of Technology - Mtech,Maestria,1
Master Project Management,Maestria,1
Master Talent Mba,Maestria,1
Master Universitario En Mineria De Datos E Inteligencia De Negocios,Maestria,1
Master'S Degree Big Data & Analytics,Maestria,1
Master'S Degree In Project Management,Maestria,1
Mba - Maestria En Administracion De Empresas,Maestria,1
Mba En Inteligencia De Negocios Y Big Data,Maestria,1
Mba Gerencial Internacional,Maestria,1
Mecatronica Automotriz,Tecnico,1
Mechatronics,Tecnico,1
Mechatronics Engineering Student,Universitario,1
Microdegree,Egresado,1
Micromaster Statistics And Data Science,Certificacion,1
Ninguno,,1
No Tengo,,1
Ongoing,Universitario,1
Pade Internacional En Gerencia De Tecnologias De La Informacion,Tecnico,1
Pae Business Intelligence,Certificacion,1
Pasantia,Universitario,1
Pde En Gestion Publica,Maestria,1
Pei De Marketing Digital,Maestria,1
Pmo - Project Management Office,Certificacion,1
Pmp,Certificacion,1
Posgrado En Gestion De Proyectos,Posgrado,1
Posgrado En Software Quality Assurance,Posgrado,1
Post Grado,Posgrado,1
Postgrado En Business Process Management,Posgrado,1
Pre Grado,Universitario,1
Profesional,Tecnico,1
Profesional En Coding,Tecnico,1
Profesional Tecnico En Analisis De Sistemas,Tecnico,1
Profesional Tecnico En Desarrollo De Software,Tecnico,1
Profesional Tecnico En Sistemas De Telecomunicaciones De Voz Y Datos,Tecnico,1
Programa Avanzado Internacional En Big Data Y Analytics,Tecnico,1
Programa De Alta Especializacion En Business Intelligence,Especializacion,1
Programa De Alta Especializacion En Gestion Avanzada De Recursos Humanos,Especializacion,1
Programa De Certificacion Oracle Ocp 10G,Certificacion,1
Programa De Direccion Estrategica,Tecnico,1
Programa De Especializacion En Desarrollo Back-End,Especializacion,1
Programa De Especializacion En Gestion Publica,Especializacion,1
Programa De Especializacion En Supply Chain Management,Especializacion,1
Programa De Especializacion Scrum,Especializacion,1
Programa De Especializacion: Gestion Y Calidad De Software,Especializacion,1
Programa Ejecutivo - Metodologias Agiles,Especializacion,1
Programa Ejecutivo De Liderazgo,Especializacion,1
Programa Ejecutivo Digital Product Management,Especializacion,1
Programa Especializado En Business Intelligence & Analytics,Especializacion,1
Programa Internacional De Transformacion Digital,Especializacion,1
Programa Internacional En Gerencia De Proyectos,Especializacion,1
Programa Online,Especializacion,1
Programacion Pslql -Oracle,Tecnico,1
Project Management,Certificacion,1
Proteccion De Datos Personales,Egresado,1
Prototipado Y Diseno De Interfaces,Egresado,1
Psicologia,Egresado,1
Python For Data Science,Tecnico,1
Red Hat Delivery Specialist - Decision Management,Tecnico,1
Sap Integral - Key User,Certificacion,1
Scrum Master Certified,Certificacion,1
Seguridad Y Salud Ocupacional En El Trabajo,Egresado,1
Service Design,Egresado,1
Si,Egresado,1
Sistema De Telecomunicaciones,Egresado,1
Sistemas Y Tecnologias De Informacion,Egresado,1
Software Y Sistemas,Egresado,1
Specialization Course,Especializacion,1
Sql Server 2016 - Nivel Avanzado,Certificacion,1
Sql Server 2019 Expert,Certificacion,1
Sql Server Avanzado,Certificacion,1
Sql Server For Bi,Certificacion,1
Study Abroad Program,Universitario,1
Systems Engineer / Ingeniero De Sistemas,Egresado,1
Taller,Certificacion,1
Taller De Preparacion Para El Examen Fundamentos De Itil(R),Certificacion,1
Tecnica,Tecnico,1
Tecnico Analista Programador,Tecnico,1
Tecnico Computacion E Informatica,Tecnico,1
Tecnico E Informatica,Tecnico,1
Tecnico En Curso,Tecnico,1
Tecnico En Informatica,Tecnico,1
Tecnico En Redes Y Seguridad Informatica,Tecnico,1
Tecnico En Sistemas,Tecnico,1
Tecnico Profesional,Tecnico,1
Tecnico Profesional En Telematica: Informatica Y Sistemas,Tecnico,1
Tecnico Superior,Tecnico,1
