lastWorkCenter,equivalence,count,equals
Csti-Minera Ares,Chain Services Ti S.A.C. - Csti,1,FALSE
Culqi,Culqi,2,TRUE
Cusa Sac,Cusa Sac,1,TRUE
Cya Consulting,Cya Consulting,1,TRUE
Cyberline S.R.L.,Cyberline S.R.L.,1,TRUE
Cyj Constructores,Cyj Constructores,2,TRUE
Dai Global Llc,Dai Global Llc,1,TRUE
Daily Technology,Daily Technology,1,TRUE
Dakota Soluciones,Dakota Soluciones,1,TRUE
Danper,Danper,1,TRUE
Darventas,Darventas,1,TRUE
Dat Company E.I.R.L.,Dat Company E.I.R.L.,1,TRUE
Data Consulting,Data Consulting,1,TRUE
Data Science Research Peru,Data Science Research Peru,1,TRUE
Data4Management,Data4Management,1,TRUE
Datacont,Datacont S.A,2,FALSE
Datacont S.A,Datacont S.A,1,TRUE
Dataimagenes S.A.C.,Dataimagenes S.A.C.,1,TRUE
Datatrust,Datatrust,1,TRUE
Datroni Sac,Datroni Sac,1,TRUE
Dayr Inversiones Multiples S.A.C.,Dayr Inversiones Multiples S.A.C.,1,TRUE
Dca Publicidad,Dca Publicidad,1,TRUE
Dd Logistic Eirl,Dd Logistic Eirl,1,TRUE
Dealerbuilt,Dealerbuilt,1,TRUE
Decameron,Decameron,1,TRUE
Decision Consultores,Decision Consultores,1,TRUE
Decor Center,Decor Center,1,TRUE
Decorlux Sac,Decorlux Sac,1,TRUE
Deepdev,Deepdev,1,TRUE
Deister Software Peru,Deister Software Peru,2,TRUE
"Del Sector Retail, Perteneciente Al Grupo Interbank.","Del Sector Retail, Perteneciente Al Grupo Interbank.",1,TRUE
Delaware,Delaware,2,TRUE
Delaware - Telefonica Del Peru,Delaware - Telefonica Del Peru,6,TRUE
Delcorp Holding,Delcorp Holding,2,TRUE
Delfosti,Delfosti,1,TRUE
Delibocaditos,Delibocaditos,1,TRUE
Delipet,Delipet,1,TRUE
Delnac Sac,Delnac Sac,1,TRUE
Delogica,Delogica,2,TRUE
Deloitte &Amp; Touche,Deloitte &Amp; Touche,1,TRUE
Deloitte &Amp; Touche S.R.L,Deloitte &Amp; Touche S.R.L,1,TRUE
Deloitte Peru,Deloitte Peru,1,TRUE
Delosi,Delosi,4,TRUE
Delta S.A.C.,Delta S.A.C.,4,TRUE
Deltasac,Deltasac,2,TRUE
Demuna Itinerante-Municipalidad San Miguel,Demuna Itinerante-Municipalidad San Miguel,1,TRUE
Depconstruccion,Depconstruccion,1,TRUE
Deprove Global Sac,Deprove Global Sac,1,TRUE
Depsa - Ransa,Depsa - Ransa,1,TRUE
Derrama Magisterial,Derrama Magisterial,1,TRUE
Desarrolladora Del Pacifico S.A.C,Desarrolladora Del Pacifico S.A.C,1,TRUE
Designic,Designic,1,TRUE
Desipsa,Desipsa,1,TRUE
Detroit Power System,Detroit Power System,1,TRUE
Devdatep,Devdatep,1,TRUE
Developers Team,Developers Team,1,TRUE
Devlops,Devlops,1,TRUE
Dewatering Solutions Peru S.A.C,Dewatering Solutions Peru S.A.C,1,TRUE
Dezo S.A.C,Dezo S.A.C,2,TRUE
Diacsa,Diacsa,1,TRUE
Diagnodent,Diagnodent,1,TRUE
Didi,Didi,3,TRUE
Digitex,Digitex,1,TRUE
Dijisa,Dijisa,1,TRUE
Dimerc Peru S.A.C.,Dimerc Peru S.A.C.,2,TRUE
Dimerc Peru Sac,Dimerc Peru Sac,1,TRUE
Dimexa S.A.,Dimexa S.A.,1,TRUE
Din Automatizacion,Din Automatizacion,1,TRUE
Diners Club Peru,Diners Club Peru,1,TRUE
Dinet,Dinet,1,TRUE
Dinet S.A.,Dinet S.A.,4,TRUE
Direc Tv,Direc Tv,4,TRUE
Direccion De Redes Integradas De Salud Lima Sur,Direccion De Redes Integradas De Salud Lima Sur,3,TRUE
"Direccion Ejecutiva De Medicamentos, Insumos Y Drogas - Direccion De","Direccion Ejecutiva De Medicamentos, Insumos Y Drogas - Direccion De",1,TRUE
Direccion General De Capitanias Y Guardacostas,Direccion General De Capitanias Y Guardacostas,1,TRUE
Direccion General De Responsabilidad Social Unmsm,Direccion General De Responsabilidad Social Unmsm,2,TRUE
Direccion Regional De Educacion Cajamarca,Direccion Regional De Educacion Cajamarca,1,TRUE
Direccion Regional De Educacion Lima Provincia,Direccion Regional De Educacion Lima Provincia,3,TRUE
Directv Peru Srl,Directv Peru Srl,1,TRUE
Diris Lima Norte,Diris Lima Norte,1,TRUE
Disbofar Del Peru E.I.R.L.,Disbofar Del Peru E.I.R.L.,1,TRUE
Distribuciones Quinto E.I.R.L.,Distribuciones Quinto E.I.R.L.,1,TRUE
Distribuidora Atencio S.A.C,Distribuidora Atencio S.A.C,2,TRUE
Distribuidora Coquito,Distribuidora Coquito,1,TRUE
Distribuidora Europea De Repuestos S.A.C,Distribuidora Europea De Repuestos S.A.C,1,TRUE
Divemotor,Divemotor,3,TRUE
Diversas Empresas,Diversas Empresas,2,TRUE
Dk &Amp; Gn Motors Sac,Dk &Amp; Gn Motors Sac,1,TRUE
Dms Peru Sac,Dms Peru Sac,1,TRUE
Doe Run Peru Srl,Doe Run Peru Srl,1,TRUE
Dogma,Dogma,1,TRUE
Doktuz S.A.C.,Doktuz S.A.C.,1,TRUE
Dolcci Premium,Dolcci Premium,1,TRUE
Dollytu,Dollytu,1,TRUE
Dominion Peru Sac,Dominion Peru Sac,1,TRUE
Domiruth Travel,Domiruth Travel,1,TRUE
Domiruth Travel Service Sac,Domiruth Travel Service Sac,3,TRUE
Don Agostino Sac,Don Agostino Sac,1,TRUE
Don Mamino,Don Mamino,1,TRUE
Dormeson Gestion Inmobiliaria,Dormeson Gestion Inmobiliaria,1,TRUE
Dotnet Sac,Dotnet Sac,1,TRUE
Dp World,Dp World,1,TRUE
Dp World Callao S.R.L,Dp World Callao S.R.L,1,TRUE
Dragma Sac,Dragma Sac,1,TRUE
Dreams Corporation Sac,Dreams Corporation Sac,1,TRUE
Dreams Corporation Sac- Casino New York,Dreams Corporation Sac- Casino New York,1,TRUE
Drei Consultores Sac,Drei Consultores Sac,1,TRUE
Drogueria Daes Eirl,Drogueria Daes Eirl,1,TRUE
Droptek,Droptek,2,TRUE
Drosfar,Drosfar,2,TRUE
Dsb Mobile,Dsb Mobile,1,TRUE
Dukin Donuts,Dukin Donuts,2,TRUE
Dulce Compania,Dulce Compania,1,TRUE
Dvg,Dvg,1,TRUE
Dwconsulware,Dwconsulware,4,TRUE
Dwconsulware Del Peru,Dwconsulware Del Peru,1,TRUE
Dxc Technology,Dxc Technology,3,TRUE
Dyg Solutions,Dyg Solutions,2,TRUE
Dynamicall,Dynamicall,4,TRUE
E Business Distribution,E Business Distribution,1,TRUE
E&Amp;E Consultores En T.I. / R.I. S.A.C.,E&Amp;E Consultores En T.I. / R.I. S.A.C.,1,TRUE
E2E Solutions,E2E Solutions,3,TRUE
Eafc Maquisistema Sa,Eafc Maquisistema Sa,1,TRUE
Easycom Solutions S.A.C,Easycom Solutions S.A.C,1,TRUE
Ebd - Proyecto Mef,Ebd - Proyecto Mef,1,TRUE
Ebd Peru,Ebd Peru,2,TRUE
Ebiz Latin,Ebiz Latin,1,TRUE
Ebiz Latin America Sac.,Ebiz Latin America Sac.,1,TRUE
Ebiz S.A.C.,Ebiz S.A.C.,1,TRUE
Ecai ( Organizacion Sin Fines De Lucro),Ecai ( Organizacion Sin Fines De Lucro),1,TRUE
Ecit Del Peru,Ecit Del Peru,1,TRUE
Ecm Operadores Logistico,Ecm Operadores Logistico,1,TRUE
Eco Clean,Eco Clean,1,TRUE
Ecocentury S.A.C.,Ecocentury S.A.C.,1,TRUE
Ecol-Energy,Ecol-Energy,1,TRUE
E-Contact Peru,E-Contact Peru,1,TRUE
Ecopanela,Ecopanela,1,TRUE
Ecosermo,Ecosermo,1,TRUE
Ecuacion Digital,Ecuacion Digital,1,TRUE
Edelnor,Edelnor,1,TRUE
Edificaciones Inmobiliarias,Edificaciones Inmobiliarias,2,TRUE
Editorial Navarrete,Editorial Navarrete,1,TRUE
Editorial Pilares,Editorial Pilares,1,TRUE
Editorial Santillana (Santillana S.A.),Editorial Santillana (Santillana S.A.),1,TRUE
Edpyme Acceso,Edpyme Acceso,1,TRUE
Edpyme Acceso Crediticio,Edpyme Acceso Crediticio,1,TRUE
Edpyme Credivision S.A.,Edpyme Credivision S.A.,1,TRUE
Educa Ancon,Educa Ancon,1,TRUE
Efact,Efact,1,TRUE
Efact Sac,Efact Sac,1,TRUE
Efc,Efc,1,TRUE
Efc Electro Ferro Centro S.A.C,Efc Electro Ferro Centro S.A.C,1,TRUE
Efitec,Efitec,3,TRUE
Efitec Ti,Efitec Ti,1,TRUE
E-Gestiontech (Chile) - Remoto,E-Gestiontech (Chile) - Remoto,1,TRUE
Egp Comunicaciones,Egp Comunicaciones,1,TRUE
Ehsq Consulting Group,Ehsq Consulting Group,1,TRUE
Eig System,Eig System,2,TRUE
Eisei,Eisei,1,TRUE
El Comercio,El Comercio,1,TRUE
El Comercio Sa,El Comercio Sa,1,TRUE
El Hospital Del Nino-Av Brasil_Brena,El Hospital Del Nino-Av Brasil_Brena,1,TRUE
El Huachano,El Huachano,1,TRUE
El Pardo Doubletree By Hilton,El Pardo Doubletree By Hilton,1,TRUE
El Pedregal S.A.,El Pedregal S.A.,1,TRUE
Electro Tocache,Electro Tocache,3,TRUE
Electroandina Industrial,Electroandina Industrial,1,TRUE
Electronic'S Ingenieria,Electronic'S Ingenieria,1,TRUE
Electroquimica Asdan Eirl,Electroquimica Asdan Eirl,1,TRUE
Embotelladora San Miguel Del Sur,Embotelladora San Miguel Del Sur,1,TRUE
Emergent Cold Peru,Emergent Cold Peru,1,TRUE
Emprende Up,Emprende Up,1,TRUE
Empresa Cieta,Empresa Cieta,1,TRUE
Empresa De Rubro Bazar,Empresa De Rubro Bazar,1,TRUE
Empresa Editora El Comercio,Empresa Editora El Comercio,1,TRUE
Empresa Editora El Comercio Sa,Empresa Editora El Comercio Sa,1,TRUE
Empresa It Project Management S.A.C,Empresa It Project Management S.A.C,1,TRUE
Empresa Laforce Securite,Empresa Laforce Securite,1,TRUE
Empresa Minera Alpayana S.A.C,Empresa Minera Alpayana S.A.C,1,TRUE
Empresa Municipal De Agua Potable Y Alcantarillado De Pisco S.A. - Ot,Empresa Municipal De Agua Potable Y Alcantarillado De Pisco S.A. - Ot,1,TRUE
Empresa Nacional De Puertos Sa,Empresa Nacional De Puertos Sa,1,TRUE
Empresa Propia,Empresa Propia,1,TRUE
Empresa: Constructora Y Consultora Remar S.A,Empresa: Constructora Y Consultora Remar S.A,1,TRUE
Empresas Comerciales Sa,Empresas Comerciales Sa,1,TRUE
Empresas De Diversos Rubros,Empresas De Diversos Rubros,1,TRUE
Emtrafesa,Emtrafesa,1,TRUE
Enaco S.A. - Corporacion Fonafe,Enaco S.A. - Corporacion Fonafe,3,TRUE
Enaex - Filial Peru,Enaex - Filial Peru,1,TRUE
Enchufate Sac,Enchufate Sac,1,TRUE
Encora,Encora,1,TRUE
Encuentros Sjs,Encuentros Sjs,1,TRUE
Enel Distribucion,Enel Distribucion,2,TRUE
Enel Distribucion Peru S.A.A.,Enel Distribucion Peru S.A.A.,1,TRUE
Enel Generacion Peru,Enel Generacion Peru,1,TRUE
Enel X,Enel X,1,TRUE
Engie Service,Engie Service,1,TRUE
Engie Services Peru S.A.C,Engie Services Peru S.A.C,1,TRUE
Enlazando,Enlazando,1,TRUE
Enotria S.A,Enotria S.A,1,TRUE
Enotria S.A.,Enotria S.A.,1,TRUE
Enotria Sa,Enotria Sa,4,TRUE
Enotria Sac,Enotria Sac,3,TRUE
Enova,Enova,1,TRUE
Entel,Entel,5,TRUE
Entel Chile,Entel Chile,1,TRUE
Entel Peru,Entel Peru,6,TRUE
Entel Peru S.A.,Entel Peru S.A.,2,TRUE
Entelgy,Entelgy,5,TRUE
Envapack Peru,Envapack Peru,1,TRUE
Envasadora San Gabriel Srl,Envasadora San Gabriel Srl,1,TRUE
Enviroequip Sac,Enviroequip Sac,2,TRUE
Eontec,Eontec,2,TRUE
Epartners Consultores Sac,Epartners Consultores Sac,2,TRUE
Epiroc,Epiroc,2,TRUE
Eqhiuni S.A.C.,Eqhiuni S.A.C.,1,TRUE
Equifax,Equifax,7,TRUE
Equifax - Equifax Inc,Equifax - Equifax Inc,1,TRUE
Equifax - Mdp Consulting,Equifax - Mdp Consulting,1,TRUE
Equifax Peru S.A. (Infocorp),Equifax Peru S.A. (Infocorp),1,TRUE
Er Cloud 4U,Er Cloud 4U,2,TRUE
Eralma Constructora,Eralma Constructora,5,TRUE
Ericsson,Ericsson,4,TRUE
Ernest &Amp; Young,Ernest &Amp; Young,1,TRUE
Ernst &Amp; Young,Ernst &Amp; Young,2,TRUE
Ernst &Amp; Young (Ey),Ernst &Amp; Young (Ey),1,TRUE
Ernst &Amp; Young Consultores S. Civil De R.L.,Ernst &Amp; Young Consultores S. Civil De R.L.,1,TRUE
Esan Graduate School Of Business,Esan Graduate School Of Business,1,TRUE
Escuela Nacional De Estadistica E Informatic...,Escuela Nacional De Estadistica E Informatic...,1,TRUE
Escuela Nacional De Formacion Policial,Escuela Nacional De Formacion Policial,1,TRUE
Escuela Tecnica Del Ejercito,Escuela Tecnica Del Ejercito,1,TRUE
Esmeralda Corp S.A.C,Esmeralda Corp S.A.C,1,TRUE
Especialidades Medicas Universal S.A.,Especialidades Medicas Universal S.A.,7,TRUE
Espuma Polimeros S.A.C,Espuma Polimeros S.A.C,1,TRUE
Essalud,Essalud,1,TRUE
Essalud - Rpa,Essalud - Rpa,1,TRUE
Estanterias Metalicas Jrm,Estanterias Metalicas Jrm,1,TRUE
Estee Lauder,Estee Lauder,1,TRUE
Estilos,Estilos,2,TRUE
Estrategia Y Direccion Sac,Estrategia Y Direccion Sac,1,TRUE
Estrateguis Empresarial Eirl,Estrateguis Empresarial Eirl,1,TRUE
Estructuras Industriales E.G.A.,Estructuras Industriales E.G.A.,1,TRUE
Estudio Contable,Estudio Contable,1,TRUE
Estudio Contable Bacilia Julca,Estudio Contable Bacilia Julca,1,TRUE
Estudios Ecla,Estudios Ecla,1,TRUE
Esvicsac,Esvicsac,1,TRUE
Eucim Business School,Eucim Business School,1,TRUE
Euro System,Euro System,1,TRUE
Euroamerican College,Euroamerican College,1,TRUE
Euroflex Peru,Euroflex Peru,1,TRUE
Euromotors S.A,Euromotors S.A,1,TRUE
Everest S.A.S.,Everest S.A.S.,1,TRUE
Everis,Everis,39,TRUE
Everis - Bcp,Everis - Bcp,1,TRUE
Everis - Ntt-Data Peru,Everis - Ntt-Data Peru,1,TRUE
Everis Bpo,Everis Bpo,2,TRUE
Everis Del Peru - Proyecto Bcp,Everis Del Peru - Proyecto Bcp,1,TRUE
Everis Peru,Everis Peru,15,TRUE
Everis Peru S.A.C,Everis Peru S.A.C,4,TRUE
Everis Peru S.A.C.,Everis Peru S.A.C.,2,TRUE
Everis Peru Sac,Everis Peru Sac,29,TRUE
Everis S.A,Everis S.A,2,TRUE
Everis S.A.,Everis S.A.,1,TRUE
Everis S.A.C.,Everis S.A.C.,1,TRUE
Everis Sac,Everis Sac,2,TRUE
Evol,Evol,11,TRUE
Evol - Tsnet S.A.,Evol - Tsnet S.A.,1,TRUE
Evol (Tsnet S.A.),Evol (Tsnet S.A.),1,TRUE
Evol Peru,Evol Peru,1,TRUE
Evol Ts Net,Evol Ts Net,1,TRUE
Evotic,Evotic,1,TRUE
Exact S.A.C - Empresa Especialista En Gestion Documental,Exact S.A.C - Empresa Especialista En Gestion Documental,1,TRUE
Exact Sac,Exact Sac,1,TRUE
Exacto Peru,Exacto Peru,2,TRUE
Exagon Peru S.A.C.,Exagon Peru S.A.C.,1,TRUE
Excelia Peru Sac,Excelia Peru Sac,2,TRUE
Experian,Experian,1,TRUE
Experian Peru,Experian Peru,2,TRUE
Experis,Experis,20,TRUE
Experis - Manpowergroup,Experis - Manpowergroup,3,TRUE
Experis (Asignado A Cliente Movistar),Experis (Asignado A Cliente Movistar),9,TRUE
Experis Manpower,Experis Manpower,7,TRUE
Experis Manpower Group,Experis Manpower Group,3,TRUE
Experis -Manpower Group,Experis -Manpower Group,3,TRUE
Experis Peru,Experis Peru,1,TRUE
Experis Professional,Experis Professional,1,TRUE
Experis Proyecto Mitsui,Experis Proyecto Mitsui,5,TRUE
"Experis, Cliente Delosi","Experis, Cliente Delosi",1,TRUE
Expertia Travel,Expertia Travel,3,TRUE
Expertia Travel Sac,Expertia Travel Sac,1,TRUE
Expertta Salud S.A.C.,Expertta Salud S.A.C.,1,TRUE
Exportadora Fruticola Del Sur S.A,Exportadora Fruticola Del Sur S.A,1,TRUE
"Exportadora San Alberto Peru, Sac.","Exportadora San Alberto Peru, Sac.",1,TRUE
Exsa - A Member Of The Orica Group,Exsa - A Member Of The Orica Group,1,TRUE
Exxa Consulting,Exxa Consulting,1,TRUE
Ey,Ey,3,TRUE
Eym Logistic Transport Sac,Eym Logistic Transport Sac,1,TRUE
Ez Forms Pro,Ez Forms Pro,1,TRUE
F&Amp;E Corporation Sac,F&Amp;E Corporation Sac,1,TRUE
F&Amp;L Inmobiliaria,F&Amp;L Inmobiliaria,1,TRUE
F1 Services &Amp; Solution,F1 Services &Amp; Solution,1,TRUE
Faber Castell,Faber Castell,10,TRUE
Fablab Tecsup,Fablab Tecsup,1,TRUE
Fabrica Nacional De Acumuladores Etna S.A.,Fabrica Nacional De Acumuladores Etna S.A.,2,TRUE
Fabrica Peruana Eternit S.A.,Fabrica Peruana Eternit S.A.,2,TRUE
Facele S.A.C,Facele S.A.C,1,TRUE
Factor It,Factor It,2,TRUE
Factorit,Factorit,1,TRUE
Facturactiva,Facturactiva,1,TRUE
Facturactiva Del Peru,Facturactiva Del Peru,2,TRUE
Facultad De Ciencias Uni,Facultad De Ciencias Uni,1,TRUE
Facultad De Medicina Humana - Unjfsc,Facultad De Medicina Humana - Unjfsc,1,TRUE
Falabella Corporativo,Falabella Corporativo,2,TRUE
Falabella Peru,Falabella Peru,1,TRUE
Falabella Tecnologia Peru S.A.C,Falabella Tecnologia Peru S.A.C,1,TRUE
Fallabella,Fallabella,1,TRUE
Faposac- Portuaria -Arequipa,Faposac- Portuaria -Arequipa,1,TRUE
Faraday Electric Transformers,Faraday Electric Transformers,1,TRUE
Faraona Grand Hotel,Faraona Grand Hotel,1,TRUE
Fargoline S.A.,Fargoline S.A.,1,TRUE
Faride Algodon Del Peru Srl,Faride Algodon Del Peru Srl,2,TRUE
Farmacias Peruanas,Farmacias Peruanas,14,TRUE
Farmacias Peruanas - Intercorp,Farmacias Peruanas - Intercorp,1,TRUE
Farmacias Peruanas S.A,Farmacias Peruanas S.A,1,TRUE
Farmacias Peruanas S.A.,Farmacias Peruanas S.A.,2,TRUE
Farmalisto Peru,Farmalisto Peru,1,TRUE
Fashion Clas,Fashion Clas,4,TRUE
Fast Forward Advisors,Fast Forward Advisors,1,TRUE
Fastco,Fastco,1,TRUE
Feban,Feban,1,TRUE
Federacion Deportiva Peruana De Natacion,Federacion Deportiva Peruana De Natacion,1,TRUE
Femsa - Oxxo Peru,Femsa - Oxxo Peru,1,TRUE
Fenix Power Peru,Fenix Power Peru,1,TRUE
Ferreycorp S.A,Ferreycorp S.A,3,TRUE
Ferreyros,Ferreyros,11,TRUE
Ferreyros S.A,Ferreyros S.A,1,TRUE
Ferreyros S.A.,Ferreyros S.A.,3,TRUE
Ferreyros Sa,Ferreyros Sa,8,TRUE
Feruhuja Sac,Feruhuja Sac,1,TRUE
Fesepsa,Fesepsa,1,TRUE
Fesepsa S.A,Fesepsa S.A,6,TRUE
Festiclub,Festiclub,1,TRUE
Fiber Global,Fiber Global,1,TRUE
Fiberlux,Fiberlux,2,TRUE
Fidenza S.A.,Fidenza S.A.,1,TRUE
Fidersa,Fidersa,2,TRUE
Filind Brand,Filind Brand,1,TRUE
Filly Logistics,Filly Logistics,1,TRUE
Filmarte,Filmarte,1,TRUE
Filtros Lys,Filtros Lys,2,TRUE
Filtros San Jorge Sac,Filtros San Jorge Sac,1,TRUE
Financiera Confianza,Financiera Confianza,2,TRUE
Financiera Confianza S.A.A.,Financiera Confianza S.A.A.,1,TRUE
Financiera Credinka,Financiera Credinka,1,TRUE
Financiera Credinka S.A,Financiera Credinka S.A,1,TRUE
Financiera Crediscotia,Financiera Crediscotia,2,TRUE
Financiera De Credito Y Ahorro,Financiera De Credito Y Ahorro,1,TRUE
Financiera Efectiva,Financiera Efectiva,1,TRUE
Financiera Efectiva S.A.,Financiera Efectiva S.A.,3,TRUE
Financiera Efectiva/Grupo Efe,Financiera Efectiva/Grupo Efe,1,TRUE
Financiera Oh,Financiera Oh,4,TRUE
Financiera Proempresa,Financiera Proempresa,1,TRUE
Financiera Proempresa Sa,Financiera Proempresa Sa,1,TRUE
Financiera Tfc,Financiera Tfc,2,TRUE
Financiera Tfc S.A,Financiera Tfc S.A,2,TRUE
Finansol Cooperativa,Finansol Cooperativa,1,TRUE
Finvivir Peru,Finvivir Peru,2,TRUE
Firstflag Strategic Solutions E.I.R.L,Firstflag Strategic Solutions E.I.R.L,2,TRUE
Fitesa Peru Sac,Fitesa Peru Sac,1,TRUE
Fixenova,Fixenova,1,TRUE
Flagare Spa,Flagare Spa,1,TRUE
Flash Servicio Tecnico S.Ac ( Grupo Nova Maquinaria),Flash Servicio Tecnico S.Ac ( Grupo Nova Maquinaria),1,TRUE
Flex Trade Sac,Flex Trade Sac,2,TRUE
Floreria San Borja,Floreria San Borja,1,TRUE
Florita,Florita,1,TRUE
Fluxus Sac,Fluxus Sac,1,TRUE
Fluyez,Fluyez,1,TRUE
Fonafe,Fonafe,1,TRUE
Fonbienes Peru Eafc,Fonbienes Peru Eafc,1,TRUE
Fondo Mivivienda,Fondo Mivivienda,1,TRUE
Fondo Mivivienda S.A.,Fondo Mivivienda S.A.,2,TRUE
Footloose Y Gzuck,Footloose Y Gzuck,1,TRUE
Foox.La,Foox.La,1,TRUE
Forbis Logistics S.A.,Forbis Logistics S.A.,1,TRUE
Force Close,Force Close,1,TRUE
Fordex Scrl,Fordex Scrl,1,TRUE
Forest Electromechanic Solution,Forest Electromechanic Solution,1,TRUE
Formiik Peru S.A.C.,Formiik Peru S.A.C.,2,TRUE
Forsac Peru,Forsac Peru,2,TRUE
Fortel,Fortel,2,TRUE
Fortel Bpo,Fortel Bpo,1,TRUE
Fortel Contact Center &Amp; Bpo,Fortel Contact Center &Amp; Bpo,1,TRUE
Fortel Customer Experience,Fortel Customer Experience,6,TRUE
Fortel Customer Experience Bpo,Fortel Customer Experience Bpo,2,TRUE
Forum 9,Forum 9,1,TRUE
Fosforera Peruana S.A.,Fosforera Peruana S.A.,1,TRUE
Fractal,Fractal,1,TRUE
Fractal - Banbif,Fractal - Banbif,1,TRUE
Fractal Soluciones Ti,Fractal Soluciones Ti,1,TRUE
Fractalia,Fractalia,12,TRUE
Fractalia Peru,Fractalia Peru,1,TRUE
Fractalia Peru Sa,Fractalia Peru Sa,1,TRUE
Fractalia S.A.C,Fractalia S.A.C,2,TRUE
Fractalup,Fractalup,1,TRUE
Framework Peru,Framework Peru,2,TRUE
Frecuencia Latina,Frecuencia Latina,1,TRUE
Free Lance,Free Lance,1,TRUE
Freelance,Freelance,16,TRUE
Freelance - Independiente,Freelance - Independiente,1,TRUE
Freelance (Clientes),Freelance (Clientes),78,TRUE
Freelance Azure,Freelance Azure,1,TRUE
Freelance Consultant,Freelance Consultant,1,TRUE
Freelancer,Freelancer,3,TRUE
Freelancer.Com,Freelancer.Com,1,TRUE
Frelance,Frelance,2,TRUE
Freno S.A.,Freno S.A.,1,TRUE
Frenosa,Frenosa,1,TRUE
Fridays Peru,Fridays Peru,1,TRUE
Froizen,Froizen,1,TRUE
Fuego Burger And Bbq,Fuego Burger And Bbq,1,TRUE
Fuego Tv,Fuego Tv,1,TRUE
Full Fitness Sac,Full Fitness Sac,1,TRUE
Fullcarga Sac,Fullcarga Sac,1,TRUE
Fullen International Peru,Fullen International Peru,1,TRUE
Fuller P. Brands Colombia,Fuller P. Brands Colombia,1,TRUE
Fulltimeforce,Fulltimeforce,2,TRUE
Fundacion Academia Diplomatica Del Peru,Fundacion Academia Diplomatica Del Peru,1,TRUE
Fundacion Bernard Van Leer Y Municipalidad De Lima,Fundacion Bernard Van Leer Y Municipalidad De Lima,1,TRUE
Fundacion Calma,Fundacion Calma,2,TRUE
Fundacion Universitaria Iberoamericana - Funiber,Fundacion Universitaria Iberoamericana - Funiber,1,TRUE
Fundador Y Consultor De Redes Sociales,Fundador Y Consultor De Redes Sociales,1,TRUE
Fundicion Callao,Fundicion Callao,2,TRUE
Fundo San Fernando - Ica,Fundo San Fernando - Ica,1,TRUE
Fysem Ingenieros Sa,Fysem Ingenieros Sa,1,TRUE
G&Amp;G,G&Amp;G,1,TRUE
G&Amp;H Global Logistics,G&Amp;H Global Logistics,1,TRUE
G. W. Yichang &Amp; Cia,G. W. Yichang &Amp; Cia,1,TRUE
G3 Asociados,G3 Asociados,1,TRUE
G4S,G4S,3,TRUE
Gaceta Juridica S.A.,Gaceta Juridica S.A.,1,TRUE
Gadi Confecciones Y Estampados E.Ir.L.,Gadi Confecciones Y Estampados E.Ir.L.,1,TRUE
Gambyte Peru,Gambyte Peru,1,TRUE
Gammacargo,Gammacargo,1,TRUE
Garden Natura,Garden Natura,1,TRUE
Gate Gourmet,Gate Gourmet,8,TRUE
Gategourmet Peru,Gategourmet Peru,1,TRUE
Gbs Soluciones De Negocio,Gbs Soluciones De Negocio,1,TRUE
Gdm Peru Sac,Gdm Peru Sac,1,TRUE
Gdp,Gdp,2,TRUE
Gdp Supergroup,Gdp Supergroup,1,TRUE
Gea Internacional,Gea Internacional,1,TRUE
Gea Peru,Gea Peru,1,TRUE
Gemini Technologies,Gemini Technologies,1,TRUE
Gemu,Gemu,1,TRUE
Genesis International Advisors,Genesis International Advisors,2,TRUE
Geo Communications Systems S.A.C,Geo Communications Systems S.A.C,1,TRUE
Geoccomp Ingenieros S.A.C.,Geoccomp Ingenieros S.A.C.,1,TRUE
Geosatelital,Geosatelital,1,TRUE
Geovictoria Peru,Geovictoria Peru,1,TRUE
Geoxpress,Geoxpress,1,TRUE
Gepae,Gepae,4,TRUE
Gepae Peru,Gepae Peru,2,TRUE
Gepeho,Gepeho,1,TRUE
Gestion De Servicios Compartidos,Gestion De Servicios Compartidos,2,TRUE
Gestion De Servicios Compartidos Sac,Gestion De Servicios Compartidos Sac,1,TRUE
Gestion De Servicios Compartidos Valtx,Gestion De Servicios Compartidos Valtx,1,TRUE
Gestion Estrategica De Negocio,Gestion Estrategica De Negocio,1,TRUE
Gestion Source,Gestion Source,1,TRUE
Gestion Source - Farmacias Peruanas,Gestion Source - Farmacias Peruanas,4,TRUE
Gestionsource,Gestionsource,1,TRUE
Gestus&Amp;Qualitas,Gestus&Amp;Qualitas,1,TRUE
Gewalt Peru Sac,Gewalt Peru Sac,2,TRUE
Gfi,Gfi,2,TRUE
Gfi - Inetum,Gfi - Inetum,1,TRUE
Gfi Informatique - Hundred Sac,Gfi Informatique - Hundred Sac,1,TRUE
Gfi Peru,Gfi Peru,4,TRUE
Gfi Peru (Antes Hundred Sac),Gfi Peru (Antes Hundred Sac),1,TRUE
Gfi Peru Sac,Gfi Peru Sac,2,TRUE
Gfi Sac,Gfi Sac,1,TRUE
Gft,Gft,1,TRUE
Gi Coronado Contact Center Eirl,Gi Coronado Contact Center Eirl,1,TRUE
Giale,Giale,1,TRUE
Gilat,Gilat,1,TRUE
Gilat Networking Peru,Gilat Networking Peru,1,TRUE
Gilat Networks,Gilat Networks,1,TRUE
Gilat Networks Peru,Gilat Networks Peru,2,TRUE
Gilat Networks Peru S.A.,Gilat Networks Peru S.A.,1,TRUE
