careerField,isEngineering,isInformatics,newCareerField,count
Ciencias Politicas,No,No,No ingenieria no relacionada directamente a informatica,5
Ing. Electrica,Si,No,Ingenieria no relacionada directamente a informatica,5
Ing. Transporte,Si,No,Ingenieria no relacionada directamente a informatica,5
Ingenieria Empresarial Y Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,5
Mineria / Petroleo / Gas,No,No,No ingenieria no relacionada directamente a informatica,5
Periodismo,No,No,No ingenieria no relacionada directamente a informatica,5
Tecnologia/Tecnico De Software Informatico,No,Si,No ingenieria relacionada directamente a informatica,5
Analisis Y Diseno De Sistemas,No,Si,No ingenieria relacionada directamente a informatica,4
Analista Y Programador De Sistemas,No,Si,No ingenieria relacionada directamente a informatica,4
Computacion E Infomatica,No,Si,No ingenieria relacionada directamente a informatica,4
Computer Engineering,No,Si,No ingenieria relacionada directamente a informatica,4
Contabilidad Y Finanzas,No,No,No ingenieria no relacionada directamente a informatica,4
Data Science,No,Si,No ingenieria relacionada directamente a informatica,4
Diseno Industrial,No,No,No ingenieria no relacionada directamente a informatica,4
Diseno Industrial Y De Productos,No,No,No ingenieria no relacionada directamente a informatica,4
Filosofia,No,No,No ingenieria no relacionada directamente a informatica,4
"Informatica, Comunicaciones Y Servicios De Asistencia",No,Si,No ingenieria relacionada directamente a informatica,4
Ing. Naval,Si,No,Ingenieria no relacionada directamente a informatica,4
Ingenieria Civil,Si,No,Ingenieria no relacionada directamente a informatica,4
Ingenieria De Sistemas Y Computacion,Si,Si,Ingenieria relacionada directamente a informatica,4
Liderazgo Empresarial,No,No,No ingenieria no relacionada directamente a informatica,4
Seguros,No,No,No ingenieria no relacionada directamente a informatica,4
Tecnologia En La Gestion Empresarial/Procesamiento De Datos,No,Si,No ingenieria relacionada directamente a informatica,4
Abogada,No,No,No ingenieria no relacionada directamente a informatica,3
Administracion,No,No,No ingenieria no relacionada directamente a informatica,3
Administracion Bancaria Y Financiera,No,No,No ingenieria no relacionada directamente a informatica,3
Administracion De Base De Datos,No,Si,No ingenieria relacionada directamente a informatica,3
Administracion Y Direccion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,3
Agronegocios,No,No,No ingenieria no relacionada directamente a informatica,3
"Business Administration And Management, General",No,No,No ingenieria no relacionada directamente a informatica,3
Ciencias Sociales,No,No,No ingenieria no relacionada directamente a informatica,3
Cip Ndeg 157126,No,No,No ingenieria no relacionada directamente a informatica,3
Cloud,No,Si,No ingenieria relacionada directamente a informatica,3
Construccion / Obras Civiles,No,No,No ingenieria no relacionada directamente a informatica,3
Desarrollador,No,Si,No ingenieria relacionada directamente a informatica,3
Desarrollo De Paginas Web,No,Si,No ingenieria relacionada directamente a informatica,3
Desarrollo De Software,No,Si,No ingenieria relacionada directamente a informatica,3
Diplomado,No,No,No ingenieria no relacionada directamente a informatica,3
Economia De La Empresa,No,No,No ingenieria no relacionada directamente a informatica,3
Estadistica Empresarial,No,Si,No ingenieria relacionada directamente a informatica,3
Fotografia,No,No,No ingenieria no relacionada directamente a informatica,3
Gerencia En Tecnologias De Informacion Y Comunicaciones,No,Si,No ingenieria relacionada directamente a informatica,3
Gestion De Tecnologia De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,3
Gestion Logistica,No,No,No ingenieria no relacionada directamente a informatica,3
Ing. Quimica,Si,No,Ingenieria no relacionada directamente a informatica,3
Ingenieria De Redes Y Comunicaciones,Si,Si,Ingenieria relacionada directamente a informatica,3
Ingenieria Industrial Y De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,3
Ingenieria Informatica Y De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,3
Ingenieria Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,3
Ingenierio Electronico Y Telecomunicaciones,Si,No,Ingenieria no relacionada directamente a informatica,3
Ingeniero Informatico,Si,Si,Ingenieria relacionada directamente a informatica,3
Lengua Y Literatura Inglesa,No,No,No ingenieria no relacionada directamente a informatica,3
Marketing Digital Aplicado A Empresas Y Negocios.,No,No,No ingenieria no relacionada directamente a informatica,3
"Marketing/Gestion De Marketing, General",No,No,No ingenieria no relacionada directamente a informatica,3
Mba-Administracion Y Gestion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,3
Medicina,No,No,No ingenieria no relacionada directamente a informatica,3
Mercadotecnia Internacional,No,No,No ingenieria no relacionada directamente a informatica,3
Negocios Y Administracion,No,No,No ingenieria no relacionada directamente a informatica,3
Programa En Transformacion Digital,No,No,No ingenieria no relacionada directamente a informatica,3
Seguridad Informatica Y De Sistemas,No,Si,No ingenieria relacionada directamente a informatica,3
Sistemas De Informacion De Gestion,No,Si,No ingenieria relacionada directamente a informatica,3
"Sistemas De Informacion De Gestion, General",No,Si,No ingenieria relacionada directamente a informatica,3
System Engineering,No,Si,No ingenieria relacionada directamente a informatica,3
Tecnologia/Tecnico De Electronica Industrial,No,Si,No ingenieria relacionada directamente a informatica,3
- Procesos De Implementacion,No,No,No ingenieria no relacionada directamente a informatica,2
Administracion De Redes Y Comunicaciones,No,Si,No ingenieria relacionada directamente a informatica,2
Administracion Y Gerencia De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,2
Administracion/Administrador De Redes Y Sistemas,No,Si,No ingenieria relacionada directamente a informatica,2
Administracion/Administrador De Sistemas,No,Si,No ingenieria relacionada directamente a informatica,2
Arquitectura Y Despliegue En Aws - Gestion Y Gobierno De Datos En Aws,No,Si,No ingenieria relacionada directamente a informatica,2
Bellas Artes,No,No,No ingenieria no relacionada directamente a informatica,2
Business Analytics,No,Si,No ingenieria relacionada directamente a informatica,2
Ciencias De La Comunicacion,No,No,No ingenieria no relacionada directamente a informatica,2
Ciencias Empresariales - Marketing Y Direccion Comercial,No,No,No ingenieria no relacionada directamente a informatica,2
Computacion Y Sistemas,No,Si,No ingenieria relacionada directamente a informatica,2
Computer/Information Technology Administration And Management,No,Si,No ingenieria relacionada directamente a informatica,2
Comunicador Social,No,No,No ingenieria no relacionada directamente a informatica,2
Decimo Superior,No,No,No ingenieria no relacionada directamente a informatica,2
Direccion De Tecnologias De Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
Direccion Y Gestion De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,2
Direccion Y Gestion De Tecnologias De Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
Disenador Grafico,No,No,No ingenieria no relacionada directamente a informatica,2
Diseno De Base De Datos,No,Si,No ingenieria relacionada directamente a informatica,2
Electrical And Electronics Engineering,Si,No,Ingenieria no relacionada directamente a informatica,2
Electricidad,No,No,No ingenieria no relacionada directamente a informatica,2
"Empresa, Gestion, Marketing Y Disciplinas Afines",No,No,No ingenieria no relacionada directamente a informatica,2
Engineering,Si,No,Ingenieria no relacionada directamente a informatica,2
Especialista De Ti.,No,Si,No ingenieria relacionada directamente a informatica,2
Especialista En Tecnologias De Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
Especializacion En Redes Y Telecomunicaciones,No,Si,No ingenieria relacionada directamente a informatica,2
Estudiante,No,No,No ingenieria no relacionada directamente a informatica,2
Geografia,No,No,No ingenieria no relacionada directamente a informatica,2
Gestion De Servicios De Ti - Itilv3,No,Si,No ingenieria relacionada directamente a informatica,2
Gestion De Tecnologias De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
Gobierno De Tecnologias De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
Historia,No,No,No ingenieria no relacionada directamente a informatica,2
Idioma Ingles,No,No,No ingenieria no relacionada directamente a informatica,2
Industrial Engineering,Si,No,Ingenieria no relacionada directamente a informatica,2
Ing. Ambiental,Si,No,Ingenieria no relacionada directamente a informatica,2
Ing. En Minas,Si,No,Ingenieria no relacionada directamente a informatica,2
Ingeneria En Diseno Industrial Y Desarrollo De Productos,Si,No,Ingenieria no relacionada directamente a informatica,2
Ingenieria De Las Telecomunicaciones,Si,No,Ingenieria no relacionada directamente a informatica,2
Ingenieria De Sistemas De Informacion Y Gestion,Si,Si,Ingenieria relacionada directamente a informatica,2
"Ingenieria Electrica, Electronica Y De Comunicaciones",Si,No,Ingenieria no relacionada directamente a informatica,2
Ingeniero De Sistemas,Si,Si,Ingenieria relacionada directamente a informatica,2
"International Business, Minor Specialization Big Data And Analytics ,",No,Si,No ingenieria relacionada directamente a informatica,2
Liderazgo En La Innovacion,No,No,No ingenieria no relacionada directamente a informatica,2
Literatura,No,No,No ingenieria no relacionada directamente a informatica,2
Logistica,No,No,No ingenieria no relacionada directamente a informatica,2
Maestria,No,No,No ingenieria no relacionada directamente a informatica,2
Maestria Administracion Y Direccion De Tecnologias De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
"Maestria En Ingenieria De Sistemas, Mencion: Administracion Y Direccion De Ti",Si,Si,Ingenieria relacionada directamente a informatica,2
Management,No,No,No ingenieria no relacionada directamente a informatica,2
Marketing/Gestion De Marketing,No,No,No ingenieria no relacionada directamente a informatica,2
Master Of Business Administration - Mba,No,No,No ingenieria no relacionada directamente a informatica,2
Matematicas,No,No,No ingenieria no relacionada directamente a informatica,2
Mba,No,No,No ingenieria no relacionada directamente a informatica,2
Mecatronica,No,No,No ingenieria no relacionada directamente a informatica,2
Medio Ambiente,No,No,No ingenieria no relacionada directamente a informatica,2
Metologias Agiles,No,Si,No ingenieria relacionada directamente a informatica,2
Negocios Internacionales/Comercio Internacional,No,No,No ingenieria no relacionada directamente a informatica,2
Networking And Data Communications,No,Si,No ingenieria relacionada directamente a informatica,2
Procesamiento De Datos Y Tecnologia De Procesamiento De Datos,No,Si,No ingenieria relacionada directamente a informatica,2
Programa De Especializacion En Computacion E Informatica,No,Si,No ingenieria relacionada directamente a informatica,2
Psicopedagogia,No,No,No ingenieria no relacionada directamente a informatica,2
Redes Y Comunicaciones De Datos,No,Si,No ingenieria relacionada directamente a informatica,2
Relaciones Internac.,No,No,No ingenieria no relacionada directamente a informatica,2
Scrum Master,No,Si,No ingenieria relacionada directamente a informatica,2
Software Informatico Y Aplicaciones Multimedia,No,Si,No ingenieria relacionada directamente a informatica,2
Technology/Computer Software Technician,No,Si,No ingenieria relacionada directamente a informatica,2
Tecnologia De Informacion,No,Si,No ingenieria relacionada directamente a informatica,2
Tecnologia/Tecnico De Ingenieria Informatica,Si,Si,Ingenieria relacionada directamente a informatica,2
Telecommunications Technology/Technician,No,Si,No ingenieria relacionada directamente a informatica,2
Transformacion Digital,No,Si,No ingenieria relacionada directamente a informatica,2
Universitario,No,No,No ingenieria no relacionada directamente a informatica,2
Ux/Ui Design,No,Si,No ingenieria relacionada directamente a informatica,2
"Ventas Especializadas, Promocion Comercial Y Actividades De Marketing",No,No,No ingenieria no relacionada directamente a informatica,2
Abap-Sap,No,Si,No ingenieria relacionada directamente a informatica,1
Actuaria,No,No,No ingenieria no relacionada directamente a informatica,1
Adm Base De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Administracion Agropecuaria,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion De Empresas Con Mencion En Marketing,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion De Empresas Y Sistemas,No,Si,No ingenieria relacionada directamente a informatica,1
Administracion En La Nube,No,Si,No ingenieria relacionada directamente a informatica,1
Administracion Estrategica De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
"Administracion Estrategica De Empresas, Big Data Y Analytics",No,Si,No ingenieria relacionada directamente a informatica,1
Administracion Hotelera Y Turistica,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion Mencion Informatica,No,Si,No ingenieria relacionada directamente a informatica,1
Administracion Publica,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion Y Direccion De Negocios,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion Y Direccion De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion Y Negocios Internacionales,No,No,No ingenieria no relacionada directamente a informatica,1
Administracion Y Sistemas,No,Si,No ingenieria relacionada directamente a informatica,1
Administracion/Gestion Hotelera,No,No,No ingenieria no relacionada directamente a informatica,1
Administrador De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Administrador De Redes Y Comunicaciones,No,Si,No ingenieria relacionada directamente a informatica,1
Analise De Sistemas De Computacao,No,Si,No ingenieria relacionada directamente a informatica,1
Analisis Y Programacion,No,Si,No ingenieria relacionada directamente a informatica,1
Analytics & Innovation,No,Si,No ingenieria relacionada directamente a informatica,1
Antropologia,No,No,No ingenieria no relacionada directamente a informatica,1
Arquitectura Cloud,No,Si,No ingenieria relacionada directamente a informatica,1
Arquitectura Y Urbanismo,No,No,No ingenieria no relacionada directamente a informatica,1
Arte Y Diseno Grafico Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Asistente De Trafico,No,No,No ingenieria no relacionada directamente a informatica,1
Bachelor Of Science In Civil Engineering,Si,No,Ingenieria no relacionada directamente a informatica,1
Bachiller En Administracion Y Marketing,No,No,No ingenieria no relacionada directamente a informatica,1
Bachillerato,No,No,No ingenieria no relacionada directamente a informatica,1
Banca Seguros Y Servicios Financieros,No,No,No ingenieria no relacionada directamente a informatica,1
Basico,No,No,No ingenieria no relacionada directamente a informatica,1
Bienestar Social,No,No,No ingenieria no relacionada directamente a informatica,1
Big Data,No,Si,No ingenieria relacionada directamente a informatica,1
Big Data Y Data Science,No,Si,No ingenieria relacionada directamente a informatica,1
Bim Management,No,No,No ingenieria no relacionada directamente a informatica,1
Biologia Marina,No,No,No ingenieria no relacionada directamente a informatica,1
Biotecnologia,No,Si,No ingenieria relacionada directamente a informatica,1
Bpm (Business Process Management) Hp De Mexico,No,No,No ingenieria no relacionada directamente a informatica,1
Business Administration And Management,No,No,No ingenieria no relacionada directamente a informatica,1
"Business Administration, Management",No,No,No ingenieria no relacionada directamente a informatica,1
Business Analytics & Innovation,No,Si,No ingenieria relacionada directamente a informatica,1
Business And Systems Engineering,Si,Si,Ingenieria relacionada directamente a informatica,1
Business Expert - Administracion Y Direccion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Business Law With A Concentration In Corporate And Capital Market,No,No,No ingenieria no relacionada directamente a informatica,1
Business/Technology,No,Si,No ingenieria relacionada directamente a informatica,1
Call Center,No,No,No ingenieria no relacionada directamente a informatica,1
Capacitacion Comercio Exterior,No,No,No ingenieria no relacionada directamente a informatica,1
Cibersecurity,No,Si,No ingenieria relacionada directamente a informatica,1
Ciencia De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Ciencias Con Mencion En Tecnologias De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Ciencias Contables Y Finanzas Corporativas,No,No,No ingenieria no relacionada directamente a informatica,1
Ciencias Empresariales Con Especializacion En Gestion De Proyectos.,No,No,No ingenieria no relacionada directamente a informatica,1
Cinematografia Y Produccion De Cine Y Video,No,No,No ingenieria no relacionada directamente a informatica,1
Cloud Computing,No,Si,No ingenieria relacionada directamente a informatica,1
Coaching Ontologico,No,No,No ingenieria no relacionada directamente a informatica,1
Comercio,No,No,No ingenieria no relacionada directamente a informatica,1
Compras Internacionales/Importacion,No,No,No ingenieria no relacionada directamente a informatica,1
"Computer Programming/Programmer, General",No,Si,No ingenieria relacionada directamente a informatica,1
Computer Systems Networking And Telecommunications,No,Si,No ingenieria relacionada directamente a informatica,1
Comunicacion Efectiva,No,No,No ingenieria no relacionada directamente a informatica,1
Comunicacion En La Empresa / Comunicadora Social,No,No,No ingenieria no relacionada directamente a informatica,1
Comunicacion En Multimedios,No,No,No ingenieria no relacionada directamente a informatica,1
Comunicacion Of Development,No,No,No ingenieria no relacionada directamente a informatica,1
Concentracion En Marketing,No,No,No ingenieria no relacionada directamente a informatica,1
Contabilidad,No,No,No ingenieria no relacionada directamente a informatica,1
Contabilidad Y Gestion Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Control De Calidad,No,No,No ingenieria no relacionada directamente a informatica,1
"Css3, C# - Asp.Net Mvc 5, Sistemas De Informacion De Gestion, General",No,Si,No ingenieria relacionada directamente a informatica,1
Cultura Organizacional Y Comunicacion Interna,No,No,No ingenieria no relacionada directamente a informatica,1
Customer Service Management,No,No,No ingenieria no relacionada directamente a informatica,1
Data,No,Si,No ingenieria relacionada directamente a informatica,1
Derecho,No,No,No ingenieria no relacionada directamente a informatica,1
Desarollo De Software,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollador Fullstack Web,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollador Software,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollo De Aplicaciones Web Y Moviles,No,Si,No ingenieria relacionada directamente a informatica,1
"Desarrollo De Paginas Web, Contenido Digital/Multimedia Y Recursos Informaticos",No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollo De Software Y Gestion De Datos,No,Si,No ingenieria relacionada directamente a informatica,1
Desarrollo Web,No,Si,No ingenieria relacionada directamente a informatica,1
Devops,No,Si,No ingenieria relacionada directamente a informatica,1
Direccion De Recursos Humanos,No,No,No ingenieria no relacionada directamente a informatica,1
Direccion En Tecnologia De La Informacion,No,Si,No ingenieria relacionada directamente a informatica,1
Direccion Y Administracion De La Construccion,No,No,No ingenieria no relacionada directamente a informatica,1
Direccion Y Gestion De Empresas,No,No,No ingenieria no relacionada directamente a informatica,1
Direccion Y Gestion De Tecnologias De La Informacion (Ti),No,Si,No ingenieria relacionada directamente a informatica,1
Disenador Grafico Publicitario,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Imagen Y Sonido,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Producto,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Productos Digitales,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno De Vestuario / Textil / Modas,No,No,No ingenieria no relacionada directamente a informatica,1
Diseno Ux/Ui,No,Si,No ingenieria relacionada directamente a informatica,1
Diseno Y Comunicacion Visual,No,No,No ingenieria no relacionada directamente a informatica,1
"Diseno Y Comunicacion Visual, General",No,No,No ingenieria no relacionada directamente a informatica,1
Docencia Superior,No,No,No ingenieria no relacionada directamente a informatica,1
Educacion Universitaria/Gestion En El Ambito De La Educacion Universitaria,No,No,No ingenieria no relacionada directamente a informatica,1
Egresado,No,No,No ingenieria no relacionada directamente a informatica,1
Electronic Engineering And Telecommunications,Si,No,Ingenieria no relacionada directamente a informatica,1
Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
En Gestion Y Direccion De Tics,No,Si,No ingenieria relacionada directamente a informatica,1
En Proceso,No,No,No ingenieria no relacionada directamente a informatica,1
Enfermeria,No,No,No ingenieria no relacionada directamente a informatica,1
Engenharia Estatistica E Informatica,Si,Si,Ingenieria relacionada directamente a informatica,1
Engineering Telecommunications And Telematics,Si,No,Ingenieria no relacionada directamente a informatica,1
Ensenanza De Ingles Como Lengua Extranjera,No,No,No ingenieria no relacionada directamente a informatica,1
Especialista En Telecomunicaciones,No,No,No ingenieria no relacionada directamente a informatica,1
"Especializacion En Business Intelligence, Analytics Y Big Data",No,Si,No ingenieria relacionada directamente a informatica,1
Especializacion En Operaciones,No,No,No ingenieria no relacionada directamente a informatica,1
Estrategia E Innovacion Empresarial,No,No,No ingenieria no relacionada directamente a informatica,1
Estudio En Direccion Estrategica En Gestion De Riesgos Y Seguros En Las Organizaciones,No,No,No ingenieria no relacionada directamente a informatica,1
Estudios De Full Stack Developer,No,Si,No ingenieria relacionada directamente a informatica,1
Estudios Sobre Comunicacion Y Medios,No,No,No ingenieria no relacionada directamente a informatica,1
Experto En Expediente Tecnico Y Topografia,No,No,No ingenieria no relacionada directamente a informatica,1
Facultad De Ciencias,No,No,No ingenieria no relacionada directamente a informatica,1
"Finance, General",No,No,No ingenieria no relacionada directamente a informatica,1
Formacion Continua Y Educacion Para Adultos,No,No,No ingenieria no relacionada directamente a informatica,1
Formacion En Idiomas Extranjeros,No,No,No ingenieria no relacionada directamente a informatica,1
Front End,No,Si,No ingenieria relacionada directamente a informatica,1
Frontend Developer,No,Si,No ingenieria relacionada directamente a informatica,1
Gastronomia / Cocina,No,No,No ingenieria no relacionada directamente a informatica,1
Gerencia De Proyectos,No,No,No ingenieria no relacionada directamente a informatica,1
"Gerencia Empresarial, Administracion Y Gestion De Empresas",No,No,No ingenieria no relacionada directamente a informatica,1
