jobProfileName,candidateResidenceCountry,candidateCivilStatus,candidateBirthCountry,salary,lastWorkCompany,lastWorkCountry,lastWorkArea,lastWorkName,yearsOfExperience,worksNumber,lastEducationCompany,lastEducationCountry,lastEducationArea,lastEducationName,lastEducationStatus,lastEducationDegree,yearsOfStudy,studiesNumber,technicalSkills,languages,otherSkills,hired
Analista Programador,Peru,Soltero/A,Peru,2500,America Television,Peru,Tecnologias De La Informacion,Analista De Sistemas,1,8,Universidad Nacional Pedro Ruiz Gallo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,6,2,10,1,3,0
Programador .Net,Peru,Soltero/A,Peru,4000,Itbcp Consultores En Tecnologias,Peru,Tecnologia / Sistemas,Desarrollador Full Stack,5,4,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. - Otros,Ingenieria De Sistemas,Abandonado,Universitario,6,4,16,2,11,0
Ejecutivo Comercial,Peru,Soltero/A,Peru,2500,Pum,Peru,Sistemas,Analista De Sistemas,8,5,Universidad Tecnologica Del Peru,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,4,4,1,4,0
Practicante De Infrastructure & Cloud,Peru,Soltero/A,Peru,1200,,,,,0,0,Universidad Tecnologica Del Peru,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,7,1,6,2,1,0
Analista De Calidad,Peru,Casado/A,Peru,6000,Corporacion Sapia S.A.,Peru,Soporte Tecnico,Analista Programador,8,3,Universidad Cesar Vallejo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,9,2,7,1,1,1
Asistente De Servicios Ti,Peru,Soltero/A,Peru,1500,It Storage Eirl,Peru,Tecnologia / Sistemas,Practicante Profesional It,1,2,Universidad Cesar Vallejo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,6,1,11,0
Desarrollador De Software,Peru,Soltero/A,Peru,1500,It Storage Eirl,Peru,Tecnologia / Sistemas,Practicante Profesional It,1,2,Universidad Cesar Vallejo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,6,2,11,0
Especialista Bi,Peru,Soltero/A,Peru,1300,Vertiv,Peru,Soporte Tecnico,Practicante Ti,0,1,Universidad Cesar Vallejo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,6,1,10,0
Especialista Bi,Peru,Soltero/A,Peru,4500,Global Hitss Peru S.A.C.,Peru,Analisis Funcional,Analista Bi,3,4,Universidad Nacional De Ingenieria,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,1,8,1,1,0
Jefe De Proyecto - Modern Workplace,Peru,Casado/A,Peru,5500,Canvia S.A.C.,Peru,Otras Ingenierias,Supervisor,10,2,Universidad Nacional Federico Villarreal,Peru,Ing. - Otros,Ingenieria De Sistemas,Abandonado,Universitario,0,2,1,1,1,0
Bootcamp G&S | Infrastructure & Cloud,Peru,Soltero/A,Peru,1200,,,,,0,0,Universidad Nacional Federico Villarreal,Peru,Ing. - Otros,Ingenieria De Sistemas,En Curso,Universitario,13,2,8,1,4,0
Operador De Sistemas,Peru,,Peru,1500,Prima Afp,Peru,Seguridad Informatica,Practicante De Sistemas,0,1,Universidad Nacional Del Callao,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,1,0,0,3,0
Practicante De Procesos,Peru,,Peru,1000,Inventory Group Sac,Peru,Almacen / Deposito / Expedicion,Auxiliar De Inventario,4,3,Universidad Nacional Del Callao,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,1,5,2,4,0
Asistente De Pmo,Peru,,Peru,1500,Inventory Group Sac,Peru,Almacen / Deposito / Expedicion,Auxiliar De Inventario,3,3,Universidad Nacional Del Callao,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,1,5,2,4,0
Analista De Calidad,Peru,Soltero/A,Peru,6500,Ntt Data Peru S.A.C.,Peru,Testing / Qa / Qc,Solution Analyst,2,2,Universidad Privada Del Norte,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,7,1,9,1,0,1
Analista De Sistemas,Peru,Casado/A,Peru,2000,Hrl Soluciones S.A.C,Peru,Tecnologias De La Informacion,Analista De Soporte,11,4,Universidad Privada Del Norte,Peru,Ing. - Otros,Ingenieria De Sistemas,En Curso,Universitario,5,2,15,3,18,0
Jefe De Proyecto - Analytics & Ai,Peru,Soltero/A,Peru,5500,Inversiones Y Consultores Guerrero E.I.R.L,Peru,Soporte Tecnico,Jefe De Proyectos,10,7,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,14,5,13,1,11,0
Analista De Base De Datos,Peru,Soltero/A,Peru,3000,Fundicion Ventanilla,Peru,Tecnologia / Sistemas,Analista De Base De Datos,4,2,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,17,4,0,1,2,0
Desarrollador .Net,,,,4000,Universidad Tecnologica Del Peru S.A.C,Peru,Sistemas,Analista Programador,4,3,Universidad Tecnologica Del Peru,Peru,Ing. - Otros,Ingenieria De Sistemas,En Curso,Universitario,7,2,26,1,0,0
Administrador De Soporte Tecnico,Peru,Soltero/A,Peru,2000,Municipalidad Distrital De Carmen De La Legua,Peru,Soporte Tecnico,Personal Administrativo,2,1,Universidad Privada Telesup,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,9,2,4,1,2,0
Analista Programador .Net,Peru,Soltero/A,Peru,4500,Cia. Industrial Nuevo Mundo S.A.,Peru,Sistemas,Analista Programador,6,4,Universidad Autonoma Del Peru,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,1,12,1,0,0
Desarrollador .Net,Venezuela,Soltero/A,Venezuela,3500,Contasiscorp S.A.C.,Peru,Programacion,Analista Programador,14,8,Universidad Nacional Experimental Politecnica De La Fuerza Armada Nacional,Venezuela,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,1,11,1,0,0
Desarrollador .Net,Peru,Soltero/A,Peru,3500,Eig System,Peru,Programacion,Analista Programador,5,4,Universidad Nacional De Trujillo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,7,1,9,0
Analista Programador,Peru,Soltero/A,Peru,3000,Eig System,Peru,Programacion,Analista Programador,4,3,Universidad Nacional De Trujillo,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,7,1,9,0
Programador .Net,Peru,Pareja De Hecho,Peru,2500,Centro De Negocios Ryg,Peru,Administracion De Base De Datos,Analista De Base De Datos,10,5,Universidad Tecnologica Del Peru,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,11,4,10,1,4,0
Analista Funcional,Peru,Soltero/A,Peru,4500,Grupo Electrodata S.A.C.,Peru,Otras Ingenierias,Analista De Gestion Estrategica De Proyectos,4,3,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,9,1,9,0
Programador Frontend,Peru,Soltero/A,Peru,2500,Wunderman Thompson,Peru,Programacion,Programador Frontend,5,4,Universidad Tecnologica Del Peru,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,5,2,8,1,6,0
Asistente De Pmo,Peru,Soltero/A,Peru,3000,Bdo Peru S.A.C,Peru,Tecnologias De La Informacion,Asistente De Consultoria Ti,2,2,Universidad Femenina Del Sagrado Corazon,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,7,2,7,1,1,0
Ejecutivo Comercial,Peru,Divorciado/A,Peru,6000,Infosis Peru S.A.C.,Peru,Desarrollo De Negocios,Product Manager Corporate Peru,6,4,Universidad Autonoma De Colombia,Colombia,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,6,1,0,1,0,0
Bootcamp G&S | Infrastructure & Cloud,Peru,Soltero/A,Peru,1500,Oficina Nacional De Procesos Electorales (Onpe),Peru,Otros,Coordinador De Local De Votacion,2,7,Uiversidad Peruana Union,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,4,1,4,1,5,0
Programador .Net,Peru,Soltero/A,Peru,6000,,,,,0,0,Universidad Nacional Mayor De San Marcos,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,10,3,12,1,4,0
Programador .Net,Peru,Soltero/A,Peru,6000,,,,,0,0,Universidad Nacional Mayor De San Marcos,Peru,Ing. - Otros,Ingenieria De Sistemas,Graduado,Universitario,10,3,12,1,4,0
Asistente De Pmo,Peru,Soltero/A,Peru,7000,Mdp Consulting S.A.C.,Peru,Liderazgo De Proyecto,Project Manager,18,9,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,8,5,11,1,7,0
Programador .Net,Peru,Pareja De Hecho,Peru,5500,Practia Consulting S.A.C,Peru,Tecnologias De La Informacion,Consultor Rpa,29,9,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,Abandonado,Universitario,5,3,8,1,4,0
Analista Programador .Net,Peru,Soltero/A,Peru,8000,Rmg,Peru,Internet,Arquitecto Integracion,10,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,8,2,36,1,5,0
Lider Tecnico,Peru,Soltero/A,Peru,8500,Rmg,Peru,Internet,Arquitecto Integracion,10,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,8,2,36,1,5,0
Lider Tecnico,Peru,Soltero/A,Peru,9000,Rmg,Peru,Internet,Arquitecto Integracion,10,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,7,2,36,1,5,0
Analista Programador,Peru,Soltero/A,Peru,6000,Rmg,Peru,Internet,Arquitecto Integracion,10,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,8,2,36,1,5,0
Arquitecto De Software,Peru,Soltero/A,Peru,7000,Rmg,Peru,Internet,Arquitecto Integracion,12,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,9,2,36,1,5,0
Arquitecto De Software,Peru,Soltero/A,Peru,9000,Rmg,Peru,Internet,Arquitecto Integracion,10,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,7,2,36,1,5,0
Arquitecto De Soluciones,Peru,Soltero/A,Peru,10000,Rmg,Peru,Internet,Arquitecto Integracion,11,7,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,9,2,36,1,5,0
Especialista Devops,Peru,Soltero/A,Peru,6000,Sistematico,Peru,Tecnologias De La Informacion,Analista Senior Servidores Y Aplicaciones,5,8,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,4,2,2,1,12,0
Cloud Devops,Peru,Soltero/A,Peru,5000,Sistematico,Peru,Tecnologias De La Informacion,Consultor Senior Servidores Y Aplicaciones,6,8,Universidad Esan,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,4,2,2,1,12,0
Programador .Net,Peru,Soltero/A,Peru,4000,Manpower Professional Services S.A.,Peru,Analisis De Datos,Analista Programador,3,8,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,6,2,11,2,1,0
Desarrollador .Net,Peru,Soltero/A,Peru,2800,Gfi Peru Sac,Peru,Programacion,Analista Programador,2,3,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,3,2,13,2,3,0
Practicante De Infrastructure & Cloud,Peru,Soltero/A,Peru,1200,Euromotors S.A,Peru,Analisis Funcional,Practicante De Sistemas,2,3,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,7,1,7,1,7,0
Desarrollador .Net,,,,0,Empresa Elise S.A.C,Peru,Tecnologia / Sistemas,Analista Programador,3,2,Universidad Tecnologica Del Peru,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Posgrado,5,2,7,1,0,0
Sql Server Consultant,Peru,Soltero/A,Peru,4500,"Grupo Delaware Peru, S.A.C",Peru,Programacion,Desarrollador Web,16,8,Universidad Tecnologica Del Peru,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,18,2,0,2,0,0
Analista De Calidad,Peru,Soltero/A,Peru,5500,Mdp Consulting S.A.C.,Peru,Testing / Qa / Qc,Lider Qa,10,9,Universidad Tecnologica Del Peru,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,14,2,12,1,1,0
Ejecutivo Comercial,Peru,Casado/A,Peru,8000,Toshiba Peru,Peru,Planeamiento Comercial,Business Development,26,2,,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,18,1,1,1,1,0
Analista Programador .Net,Peru,Soltero/A,Peru,3500,Visualsoft S.A.C.,Peru,Tecnologia / Sistemas,Analista Programador,7,4,Universidad Cesar Vallejo,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,12,2,2,0
Analista Funcional,Peru,Soltero/A,Peru,0,Tecmadi,Peru,Analisis Funcional,Analista,9,6,Universidad Cesar Vallejo,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,6,2,3,1,0,0
Analista Programador Android,Peru,Soltero/A,Peru,4000,Delcorp Holding,Peru,Programacion,Analista Programador,4,7,Universidad Cesar Vallejo,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,6,1,2,1,7,0
Operador De Sistemas,Peru,Soltero/A,Peru,0,Sodimac Peru,Peru,Tecnologias De La Informacion,Controller De Sistemas,3,1,Universidad Cesar Vallejo,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,4,1,5,1,1,0
Analista Programador .Net,Peru,Soltero/A,Peru,5500,Sgs Del Peru S.A.C,Chile,Sistemas,Full Stack,3,7,Universidad Nacional Del Callao,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,6,1,4,0
Analista Programador .Net,Peru,Soltero/A,Peru,5000,Geoxpress,Peru,Tecnologias De La Informacion,Full Stack,2,6,Universidad Nacional Del Callao,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,6,1,2,0
Arquitecto Preventa De Soluciones Cloud (Ms Azure),Peru,,Peru,6000,Banco De Credito Del Peru - Bcp,Peru,Seguridad Informatica,Sub Gerente Adjunto De Seguridad De Informacion,5,5,Universidad Nacional Mayor De San Marcos,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,2,14,2,1,0
Especialista Cloud,Peru,,Peru,5500,Banco De Credito Del Peru - Bcp,Peru,Seguridad Informatica,Sub Gerente Adjunto De Seguridad De Informacion,5,5,Universidad Nacional Mayor De San Marcos,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,2,14,2,1,0
Analista Desarrollador Php,Peru,Soltero/A,Peru,1,Konecta Peru,Peru,Tecnologias De La Informacion,Analista Programador,14,6,Universidad Privada Del Norte,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,6,2,9,0,9,0
Programador Java,Peru,Soltero/A,Peru,5000,Coltur - Coltur Peruana De Turismo S.A.C.,Peru,Sistemas,Analista Programador,2,6,Universidad De Lima,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,8,1,3,0
Analista Programador .Net,Peru,Soltero/A,Peru,4500,Corporacion Sapia S.A.,Peru,Programacion,Analista Programador,6,3,Universidad De San Martin De Porres,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,8,1,20,1,2,0
Programador .Net,Peru,,Peru,3000,Fractalia S.A.C,Peru,Programacion,Analista Programador,5,3,Universidad De San Martin De Porres,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,8,1,3,1,1,0
Gestor De Servicios Cloud,Peru,Soltero/A,Peru,2400,Grupo Chacarilla Sur,Peru,Liderazgo De Proyecto,Coordinador Del Area De Tecnologia De Informacion,11,11,Universidad Inca Garcilaso De La Vega,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,12,1,11,2,5,0
Asistente De Pmo,Peru,Soltero/A,Peru,3500,Grupo Chacarilla Sur,Peru,Liderazgo De Proyecto,Coordinador Del Area De Tecnologia De Informacion,11,7,Universidad Inca Garcilaso De La Vega,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,12,1,11,2,5,0
Analista Programador,Peru,Soltero/A,Peru,3600,Visanet S.A,Peru,Seguridad Informatica,Analista Programador,5,3,Universidad Nacional San Luis Gonzaga De Ica,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,10,1,1,0
Scrum Master,Peru,Casado/A,Peru,6000,Accenture Peru,Peru,Administracion De Seguros,Lider De Proyectos,12,8,Universidad Alas Peruanas,Peru,Ing. Informatica,Ingenieria De Sistemas,Abandonado,Universitario,7,2,9,1,2,0
Ejecutivo Comercial,Peru,Soltero/A,Peru,2000,Banco Bbva Peru,Peru,Testing / Qa / Qc,Analista De Creditos,23,8,Universidad Alas Peruanas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,14,2,4,1,0,0
Asistente De Servicios Ti,Peru,Soltero/A,Peru,1400,Imaco Sa,Peru,Sistemas,Asistente De Sistemas,14,5,Universidad Peruana De Ciencias E Informatica,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,12,5,7,1,0,1
Analista Programador,Peru,,Peru,4000,Transportes 77 S.A. - Abinbev,Peru,Tecnologias De La Informacion,Analista De Ti,10,4,Universidad Peruana De Las Americas,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,7,2,15,1,3,0
Desarrollador Java,Peru,Soltero/A,Peru,4500,Grana Y Montero,Peru,Liderazgo De Proyecto,Analista Programador,9,2,Universidad Tecnologica Del Peru,Peru,Ing. Informatica,Ingenieria De Sistemas,Abandonado,Universitario,5,2,12,1,0,0
Consultor Devops,Peru,Soltero/A,Peru,5000,Freelance,Peru,Infraestructura,Sysadmin And Devops,10,9,Universidad Nacional San Luis Gonzaga De Ica,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,2,18,1,19,0
Practicante De Infrastructure & Cloud,Peru,,Peru,1400,J&C Servicios De Mecanica De Suelos,Peru,Ingenieria Oficina Tecnica / Proyecto,Asistente,0,1,Universidad Nacional Pedro Ruiz Gallo,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,6,1,2,1,1,0
Analista Programador .Net,Peru,Casado/A,Peru,4300,Edelnor,Peru,Analisis Funcional,Analista,4,4,Universidad Privada Telesup,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,7,2,14,1,1,0
Cloud Devops,Peru,Soltero/A,Peru,2000,Industrias Del Espino,Peru,Produccion,Controlador De Insumos,2,4,Universidad Peruana Union,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5,1,6,1,8,0
Especialista En Analitica,Peru,Soltero/A,Peru,1800,Ferreyros S.A.,Peru,Tecnologias De La Informacion,Practicante De Arquitectura De Aplicaciones,1,4,Universidad Nacional Tecnologica De Lima Sur,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Posgrado,5,1,12,1,5,0
Cloud Specialist,Peru,Soltero/A,Peru,5500,Tivit Latam,Brasil,Tecnologias De La Informacion,Gestor Y Especialista De Ti,5,2,Universidad Internacional De La Rioja,Espana,Ing. Informatica,Ingenieria De Sistemas,Graduado,Master,10,2,12,1,2,0
Lider Tecnico,Peru,Soltero/A,Peru,3500,Tivit Latam,Brasil,Tecnologias De La Informacion,Gestor Y Especialista De Ti,5,2,Universidad Internacional De La Rioja,Espana,Ing. Informatica,Ingenieria De Sistemas,Graduado,Master,10,2,12,1,2,0
Analista De Ciberseguridad,Peru,Soltero/A,Peru,3500,Tivit Latam,Brasil,Tecnologias De La Informacion,Gestor Y Especialista De Ti,5,2,Universidad Internacional De La Rioja,Espana,Ing. Informatica,Ingenieria De Sistemas,Graduado,Master,10,2,12,1,2,0
Programador Oracle,Peru,Casado/A,Peru,8500,Consis International,Colombia,Seguros,Gerente De Proyectos,17,2,Atlantic International University,Estados Unidos,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,3,1,3,1,4,0
Programador .Net,Peru,Soltero/A,Peru,1200,Oficina Nacional De Procesos Electorales (Onpe),Peru,Atencion Al Cliente,Coordinador De Mesa,0,5,Universidad Nacional Jose Maria Arguedas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,3,1,3,2,0,0
Practicante De Infrastructure & Cloud,Peru,Soltero/A,Peru,1200,Oficina Nacional De Procesos Electorales (Onpe),Peru,Atencion Al Cliente,Coordinador De Mesa,0,5,Universidad Nacional Jose Maria Arguedas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,3,1,3,2,0,0
Desarrollador .Net,Peru,Soltero/A,Peru,2200,Drosfar,Peru,Programacion,Programador,10,9,Universidad Nacional Pedro Ruiz Gallo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5,1,11,1,5,0
Analista De Sistemas,Peru,Soltero/A,Peru,3200,Drosfar,Peru,Programacion,Programador,10,9,Universidad Nacional Pedro Ruiz Gallo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5,1,11,1,5,0
Desarrollador Php,Peru,Soltero/A,Peru,2500,Universidad De Lambayeque,Peru,Programacion,Programador Web,1,4,Universidad Nacional Pedro Ruiz Gallo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4,1,8,1,8,0
Especialista Cyberseguridad,Peru,Soltero/A,Peru,6000,Qsystem Sac,Peru,Seguridad Informatica,Especialista De Seguridad Tecnologica,3,4,Universidad Nacional Pedro Ruiz Gallo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4,1,4,1,13,0
